# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1190002N15Rik	peak_3590 (+145153)
Kif16b	peak_2041 (-45017), peak_2040 (+995855)
Kif1c	peak_656 (+26577)
Kif20b	peak_1833 (+311997)
Kif26a	peak_870 (+15442)
Kif26b	peak_335 (-25261)
Kif2a	peak_1069 (-410131)
Kif2c	peak_2609 (-30596)
Kifap3	peak_315 (-7676)
Kifc1	peak_1597 (+16145)
Kirrel	peak_2245 (+79658)
Kitl	peak_503 (-124483)
Klf10	peak_1299 (-73556)
Klf12	peak_1217 (-506133), peak_1216 (-239934), peak_1215 (-235586), peak_1214 (+94674)
Klf14	peak_2995 (-166879), peak_2994 (-154455), peak_2993 (-79069)
Klf4	peak_2464 (-334663)
Klf6	peak_890 (-164097)
Klf7	peak_139 (+109509)
Klhl1	peak_1211 (-331348)
Klhl2	peak_3377 (-40542)
Klhl25	peak_3210 (+149000)
Klhl29	peak_720 (-859361), peak_719 (-109742), peak_718 (+165821)
Klhl31	peak_3571 (+38324)
Klhl32	peak_2407 (+58403)
Klhl34	peak_3822 (-48771)
Klhl6	peak_1401 (-42004)
Klra1	peak_3127 (-368974), peak_3126 (-297239)
Klra17	peak_3125 (+19413)
Klrg1	peak_3118 (+55056)
Kmt2a	peak_3531 (+38740)
Kndc1	peak_3270 (-19408)
Kras	peak_3146 (-53597)
Ksr2	peak_2884 (+68122)
Ktn1	peak_1151 (+172361)
Lair1	peak_3153 (+45039)
Lama1	peak_1655 (+18570)
Lama2	peak_385 (+256601)
Lamc2	peak_301 (+32612)
Laptm5	peak_2621 (-6199)
Large1	peak_3398 (+195557)
Lca5	peak_3583 (-19628)
Lcorl	peak_2740 (-543727)
Lcp2	peak_614 (-32886)
Lct	peak_258 (+23569)
Ldah	peak_723 (-84085)
Ldhal6b	peak_1546 (+30408)
Ldhd	peak_3449 (+34730)
Ldoc1	peak_3696 (+13815), peak_3697 (+260270)
Lekr1	peak_2207 (+89576)
Lep	peak_2991 (+23524)
Letm1	peak_2721 (+13337)
Lexm	peak_2587 (+10043)
Lgmn	peak_851 (+26596)
Lhfpl3	peak_2710 (-20780)
Lhpp	peak_3268 (+45914)
Lhx1	peak_671 (-38537)
Lhx2	peak_1920 (+52480)
Lhx3	peak_1902 (+15276)
Lhx5	peak_2889 (-73634), peak_2890 (-37590)
Lhx9	peak_273 (+53378)
Lig1	peak_3168 (-8031)
Lin28b	peak_415 (+23783)
Lin7a	peak_518 (+94777)
Lingo2	peak_2426 (-425763), peak_2425 (-22316), peak_2424 (+246914), peak_2423 (+302211)
Lipc	peak_3563 (+30867)
Lipk	peak_1832 (+17251)
Lipo2	peak_1831 (+38929)
Lmbrd1	peak_62 (+441152)
Lmcd1	peak_3098 (-810619), peak_3099 (-93846)
Lmx1a	peak_325 (-16530)
Lnpk	peak_1978 (-13237), peak_1977 (+607606)
Lnx1	peak_2793 (-106829)
Lox	peak_1747 (-13112)
Lpin1	peak_733 (+174194)
Lrfn5	peak_799 (-369300), peak_800 (-154019), peak_801 (+104886), peak_802 (+181519), peak_803 (+239649), peak_804 (+652732)
Lrig3	peak_548 (-264796), peak_549 (+229430)
Lrit3	peak_2298 (+15130)
Lrmda	peak_1119 (+816445)
Lrmp	peak_3145 (-16503)
Lrp1b	peak_1928 (+83938), peak_1927 (+569867)
Lrrc17	peak_2706 (+44295)
Lrrc3b	peak_1101 (-98464), peak_1100 (-71022)
Lrrc4c	peak_2001 (-903889), peak_2002 (-518703), peak_2003 (-383676), peak_2004 (+112950), peak_2005 (+717421)
Lrrc7	peak_2334 (-426007), peak_2333 (+114274)
Lrrc72	peak_747 (+19137)
Lrriq1	peak_510 (+21979)
Lrriq3	peak_2328 (+58387), peak_2329 (+216621)
Lrrtm3	peak_445 (-695342)
Lrrtm4	peak_3056 (-734474), peak_3057 (-711561), peak_3058 (+360280)
Lsamp	peak_1433 (-866057), peak_1434 (-472223), peak_1435 (+328056)
Lsm8	peak_2966 (-67695)
Ltbp2	peak_830 (+18074)
Lurap1l	peak_2520 (+162405), peak_2521 (+239094), peak_2522 (+257160)
Ly86	peak_938 (-81958)
Lyg2	peak_88 (-6612)
Lyst	peak_902 (-60834)
Lzts1	peak_3391 (-9414)
Macc1	peak_879 (-46061), peak_880 (+128079)
Magea4	peak_3710 (-114775)
Mageb16	peak_3723 (-190377), peak_3722 (-148276), peak_3721 (-114783), peak_3720 (-73374), peak_3719 (-46695)
Mageb18	peak_3746 (-112940)
Mageb4	peak_3736 (-828244), peak_3735 (-642572), peak_3734 (-118146)
Maged2	peak_3814 (-53607)
Magi2	peak_2698 (-403126), peak_2699 (-374501), peak_2700 (-239742), peak_2701 (+114606), peak_2702 (+421859), peak_2703 (+735581)
Mak	peak_945 (+11986)
Mal	peak_2031 (-14641)
Malrd1	peak_1887 (+137498)
Mamdc2	peak_1818 (-59400)
Man1c1	peak_2631 (+61969), peak_2630 (+70149), peak_2629 (+75570)
Manea	peak_2410 (-22492)
Manf	peak_3609 (-26746)
Map1b	peak_1051 (-41613)
Map1s	peak_3393 (+153422), peak_3394 (+166349)
Map2	peak_145 (-44061)
Map3k13	peak_1406 (+16623)
Map3k2	peak_1722 (-9759)
Map3k7	peak_2415 (-436463), peak_2416 (-81754), peak_2417 (+111390)
Map3k7cl	peak_1527 (+63773)
Map4k1	peak_3191 (+31475)
Map7d2	peak_3826 (-16509)
Map7d3	peak_3685 (-58533)
Mapk10	peak_2852 (+67221)
Mapk4	peak_1771 (+101250)
Mapre2	peak_1709 (-8706)
March1	peak_3385 (-284923)
March11	peak_1280 (-131194), peak_1281 (-60445), peak_1282 (-28698)
March4	peak_158 (-11322), peak_157 (+54508), peak_156 (+108146)
Marcks	peak_402 (-831790), peak_401 (-796719), peak_400 (-569596)
Marveld2	peak_1054 (+27823)
Mast4	peak_1060 (-66561)
Mat2b	peak_621 (+31440), peak_620 (+443363)
Mb21d1	peak_3572 (+15473)
Mb21d2	peak_1415 (+9332)
Mbd3l1	peak_3494 (+29040)
Mboat1	peak_928 (-12728)
Mboat2	peak_737 (-54514)
Mc4r	peak_1760 (-79971)
Mc5r	peak_1765 (-8446)
Mccc2	peak_1052 (+6630)
Mcf2	peak_3692 (-21828)
Mcm5	peak_3401 (+36625)
Mcph1	peak_3298 (-162443)
Mctp2	peak_3205 (-221588)
Mdfic	peak_2961 (-202880), peak_2962 (+533046)
Mdga2	peak_808 (-765564)
Me3	peak_3226 (-44094), peak_3227 (+126348)
Mecom	peak_2143 (+140254), peak_2142 (+293673)
Med12l	peak_2192 (-18650)
Med13l	peak_2886 (-27896)
Med30	peak_1326 (-45941), peak_1327 (+161717)
Mef2c	peak_1026 (-830077), peak_1027 (-703990), peak_1028 (-337469)
Megf9	peak_2496 (-336646)
Mei1	peak_1364 (+18952)
Mei4	peak_3577 (+173704), peak_3578 (+270398)
Meis1	peak_587 (-63624), peak_586 (+382671), peak_585 (+395532)
Melk	peak_2441 (+92192)
Memo1	peak_1664 (+22118)
Meox2	peak_751 (-156554), peak_752 (+52707)
Mettl11b	peak_314 (+14829)
Mettl15	peak_2012 (+944811)
Mettl18	peak_316 (+24700)
Mettl21c	peak_97 (-14843)
Mettl21e	peak_99 (-129757), peak_98 (-26197)
Mettl25	peak_516 (-84141)
Mettl4	peak_1690 (+213368)
Mex3b	peak_3217 (+319349)
Mex3c	peak_1769 (-223252)
Mff	peak_175 (-21579)
Mfsd4b1	peak_406 (+17525)
Mgat4c	peak_505 (-229754), peak_506 (-50642)
Mgat4e	peak_268 (+19371)
Mgme1	peak_2045 (-46268)
Mib1	peak_1696 (+123520)
Mid1ip1	peak_3631 (+247846)
Mipep	peak_1167 (+90723)
Mllt3	peak_2543 (+352471)
Mmaa	peak_3411 (-37906)
Mmadhc	peak_1936 (-303964)
Mme	peak_2202 (-23176)
Mmp16	peak_2377 (-718989), peak_2378 (-635994), peak_2379 (-571791), peak_2380 (-444462), peak_2381 (-402172), peak_2382 (-282381), peak_2383 (+168273), peak_2384 (+368334), peak_2385 (+574822)
Mmp24	peak_2056 (+17437)
Mms22l	peak_2404 (-839422), peak_2405 (-553745), peak_2406 (-212031)
Mn1	peak_2870 (+48575), peak_2871 (+221909)
Mob3b	peak_2421 (-23049)
Mobp	peak_3620 (+18536), peak_3621 (+24590), peak_3622 (+40886)
Mon2	peak_547 (-8301)
Morc1	peak_1446 (+116324)
Morn1	peak_2660 (+37094)
Morn2	peak_1672 (-9187)
Mpdz	peak_2526 (-465904), peak_2525 (-335839), peak_2524 (+42609), peak_2523 (+179677)
Mphosph6	peak_3455 (-176382)
Mpzl1	peak_319 (-33116)
Mrc1	peak_1885 (+59573)
Mrln	peak_457 (+18213)
Mrm1	peak_672 (+110900)
Mrpl3	peak_3605 (-204826)
Mrpl33	peak_2719 (-42658)
Mrpl36	peak_1003 (+34786)
Mrps24	peak_559 (+7695)
Mrps30	peak_1085 (-135186), peak_1084 (+63693)
Mrps33	peak_3005 (-115801)
Msl3l2	peak_433 (-602103), peak_434 (-75723)
Msr1	peak_3328 (-252115), peak_3327 (-87312)
Mtdh	peak_1293 (-196150)
Mtor	peak_2649 (+10079)
Mtpap	peak_1691 (+28300)
Mtpn	peak_3001 (-238137), peak_3000 (+93808)
Mtr	peak_899 (+31056)
Mtrr	peak_993 (+66847)
Mtus2	peak_2926 (-27503)
Muc3a	peak_2919 (+22879)
Mup10	peak_2470 (-36674)
Mup21	peak_2471 (-15366)
Mup4	peak_2469 (-10710)
Musk	peak_2467 (+106054)
Mvb12b	peak_1916 (-88713)
Myb	peak_375 (+83038)
Myc	peak_1340 (+536694), peak_1341 (+785538)
Mycbp2	peak_1220 (-67239)
Myh10	peak_652 (+60605)
Myh13	peak_651 (+43440)
Myh9	peak_1358 (-20869)
Myl12b	peak_1661 (+19314)
Myo3a	peak_1900 (+110847)
Myo3b	peak_1969 (-8697)
Myo5b	peak_1772 (-14994)
Myom2	peak_3293 (+594621)
Mzt1	peak_1213 (+7073)
N4bp1	peak_3418 (-109599)
N6amt1	peak_1523 (-628841), peak_1524 (-242196), peak_1525 (-204856), peak_1526 (-160944)
Naaladl2	peak_2137 (-615231), peak_2136 (-466659), peak_2135 (-317312), peak_2134 (-250602), peak_2133 (-185641), peak_2132 (+544696)
Nabp1	peak_119 (+44821)
Naip6	peak_1053 (-62534)
Nap1l3	peak_3782 (+217755)
Nars	peak_1756 (-39801)
Nat8l	peak_2722 (+52697)
Nav3	peak_521 (-364315), peak_520 (-224872)
Nbea	peak_2186 (-420598), peak_2185 (-187985), peak_2184 (-25627), peak_2183 (+47349)
Ncam2	peak_1514 (+546958)
Nck2	peak_95 (+108552)
Ncoa1	peak_716 (+46105)
Ncoa2	peak_29 (+114424)
Ndrg1	peak_1346 (-37080)
Ndst4	peak_2291 (-327965), peak_2292 (-188460)
Ndufa10	peak_185 (+55680)
Ndufa4	peak_2953 (+158262), peak_2952 (+227510), peak_2951 (+745712)
Ndufs5	peak_2615 (+6753)
Nebl	peak_1890 (+453043)
Necab1	peak_2374 (+94394), peak_2373 (+128768)
Nedd1	peak_489 (-86927)
Nedd4l	peak_1757 (-12055)
Negr1	peak_2330 (-117490), peak_2331 (+405373), peak_2332 (+445127)
Nek6	peak_1921 (+9253)
Net1	peak_883 (+8026)
Neto1	peak_1789 (-568126), peak_1790 (-497215), peak_1791 (-186960)
Nfib	peak_2530 (+121263), peak_2529 (+311571), peak_2528 (+464413), peak_2527 (+494421)
Nfxl1	peak_2786 (+17205)
Ngf	peak_2264 (-33449)
Ngfr	peak_684 (-23656)
Ngly1	peak_1102 (-397294), peak_1103 (-191710), peak_1104 (-138735)
Nid1	peak_901 (+23374)
Nkain3	peak_2395 (-427710), peak_2394 (-31690)
Nkx2-6	peak_1172 (-62022)
Nkx2-9	peak_789 (+28681)
Nkx3-2	peak_2731 (-17090)
Nkx6-1	peak_2845 (-39412), peak_2844 (+352552)
Nlgn3	peak_3757 (+20214)
Nlrp1b	peak_657 (-6652)
Nlrp4c	peak_3158 (+36312)
Nmbr	peak_368 (+627035)
Nmnat3	peak_3595 (-46488)
Nmur2	peak_640 (-162715)
Nnmt	peak_3538 (-43948)
Nnt	peak_1087 (+286171)
Noc4l	peak_2868 (+25195)
Noct	peak_2175 (-260502)
Nol11	peak_695 (-103308)
Nov	peak_1330 (-68242)
Nova1	peak_773 (-766705), peak_772 (+773983), peak_771 (+856189)
Npas3	peak_785 (-215192)
Npbwr1	peak_7 (-76000)
Npffr1	peak_441 (-15309)
Npnt	peak_2301 (+121458)
Npsr1	peak_3502 (-413159), peak_3503 (-116095), peak_3504 (+168501)
Nptx1	peak_712 (-24709)
Npy	peak_3021 (-206809)
Npy5r	peak_3386 (+84362)
Npy6r	peak_1736 (+19980)
Nr2e3	peak_3551 (-95223), peak_3550 (-32463)
Nr2f1	peak_1017 (-766079), peak_1016 (-746134), peak_1015 (+60352)
Nr2f2	peak_3204 (+167259)
Nr3c2	peak_3406 (-565709), peak_3407 (-488185), peak_3408 (-431430)
Nr4a2	peak_1952 (+168064)
Nr5a2	peak_271 (-389865)
Nrcam	peak_768 (+154253)
Nrde2	peak_848 (+21550)
Nrep	peak_1725 (+68671)
Nrg3	peak_1139 (-624089), peak_1138 (+930135)
Nrn1	peak_937 (+70852)
Nrp2	peak_135 (-408640), peak_136 (+181848)
Nrsn1	peak_921 (+27797)
Nrxn3	peak_833 (+465439)
Nsmaf	peak_2344 (-195195), peak_2343 (-155326)
Nsun3	peak_1471 (+933587)
Nsun7	peak_2775 (-42400)
Nt5dc3	peak_480 (+17683)
Nt5e	peak_3587 (-191173)
Ntm	peak_3510 (-174517)
Ntng1	peak_2275 (+78245)
Ntrk2	peak_976 (+300929)
Ntrk3	peak_3213 (+162420)
Nts	peak_509 (+57029), peak_508 (+166310), peak_507 (+175028)
Nuak1	peak_477 (+285242)
Nubpl	peak_783 (+18479)
Nudt12	peak_1642 (-554633)
Nup35	peak_1982 (+518825), peak_1983 (+673304)
Nus1	peak_430 (+104030)
Nutm2	peak_962 (+61319)
Nwd2	peak_2770 (-51361)
Nxph1	peak_2947 (+197115)
Nyap2	peak_171 (-93344), peak_172 (+342726), peak_173 (+421316)
Obox5	peak_3173 (-18774)
Obscn	peak_645 (+11562), peak_644 (+42362)
Ofcc1	peak_942 (+349066)
Oit1	peak_1090 (+20298)
Oit3	peak_438 (-83050)
Olfm4	peak_1191 (+184901), peak_1192 (+355388)
Olfr1090	peak_1991 (-2496)
Olfr1193	peak_1992 (-7312)
Olfr1196	peak_1993 (-6987)
Olfr124	peak_1601 (+11223)
Olfr1271	peak_1995 (-1809)
Olfr1320	peak_3676 (-11608)
Olfr1323	peak_3678 (-63840), peak_3677 (+21083)
Olfr1324	peak_3681 (-123638), peak_3680 (-39952), peak_3679 (+84718)
Olfr1350	peak_3159 (+24907)
Olfr1354	peak_473 (-18428)
Olfr1393	peak_634 (-16621)
Olfr140	peak_1994 (-23809)
Olfr1402	peak_2256 (-67327)
Olfr1419	peak_1805 (-3476)
Olfr1458	peak_1806 (-13093)
Olfr1505	peak_1807 (+315284)
Olfr1507	peak_1159 (-61003)
Olfr156	peak_2440 (+11871)
Olfr16	peak_328 (+20511)
Olfr177	peak_1461 (+12363)
Olfr183	peak_1462 (-17925)
Olfr196	peak_1463 (-7954)
Olfr211	peak_3110 (-8134)
Olfr266	peak_2271 (-96737)
Olfr298	peak_3221 (-11459)
Olfr380	peak_659 (-12378)
Olfr39	peak_3497 (+7199)
Olfr46	peak_3272 (+4357)
Olfr470	peak_3248 (-6714)
Olfr478	peak_3249 (+20161)
Olfr49	peak_1161 (-12047)
Olfr502	peak_3250 (+25207)
Olfr564	peak_3237 (-8586)
Olfr566	peak_3238 (+14020)
Olfr635	peak_3239 (-11993)
Olfr661	peak_3241 (+34771)
Olfr688	peak_3243 (-24729)
Olfr691	peak_3244 (-7879)
Olfr711	peak_3247 (-9645)
Olfr721-ps1	peak_1098 (+21143)
Olfr722	peak_1153 (+16983)
Olfr725	peak_1154 (+31548)
Olfr731	peak_1155 (-7574)
Olfr782	peak_554 (-7699)
Olfr796	peak_555 (+18695)
Olfr8	peak_474 (-10268)
Olfr839-ps1	peak_3495 (+17234)
Olfr855	peak_3496 (+12541)
Olfr875	peak_3519 (+11099)
Olfr924	peak_3521 (-3819)
Olfr93	peak_1600 (-3229)
Olfr933	peak_3522 (-7466)
Olfr952	peak_3523 (-16227)
Olfr957	peak_3524 (-15712)
Olfr981	peak_3525 (+19619)
Olfr982	peak_3526 (-9780)
Olig1	peak_1532 (+19859), peak_1533 (+41216)
Oma1	peak_2581 (+65963)
Onecut1	peak_3567 (+47634)
Onecut3	peak_476 (+19444)
Ophn1	peak_3754 (+307195)
Opn1sw	peak_2992 (-7810)
Oprd1	peak_2624 (-21173)
Oprk1	peak_6 (-238004)
Orc5	peak_2709 (+77635), peak_2708 (+94268)
Osbpl3	peak_3023 (+37062), peak_3022 (+41153)
Osr1	peak_724 (+109152)
Ostf1	peak_1813 (+186099)
Ostm1	peak_411 (+40600)
Otx1	peak_591 (+94450)
Otx2	peak_1152 (+76816)
Oxgr1	peak_1238 (-19370)
Oxr1	peak_1302 (-203011)
Oxtr	peak_3101 (-45417)
P3h2	peak_1412 (-22665)
Pabpc1	peak_1297 (-70798)
Pabpc4l	peak_2171 (-835026), peak_2170 (+249567)
Pabpc5	peak_3780 (-417894)
Palmd	peak_2283 (-60978)
Pam	peak_197 (-105690)
Pank3	peak_615 (-69399)
Papolg	peak_593 (+53455)
Pappa	peak_2477 (-132913)
Pappa2	peak_307 (-63742), peak_306 (+78697)
Pard3b	peak_132 (-124742), peak_133 (-69305), peak_134 (-51486)
Pard6b	peak_2073 (-21177), peak_2074 (+56461)
Park2	peak_1552 (+134320), peak_1553 (+458618)
Parm1	peak_2829 (+169128)
Pars2	peak_2588 (-11907)
Pawr	peak_519 (-67120)
Pax1	peak_2047 (-26286), peak_2048 (+105219)
Pax3	peak_166 (-50351)
Pbp2	peak_3133 (+22426)
Pbx1	peak_327 (-288675), peak_326 (-197923)
Pccb	peak_3598 (-8091)
Pcdh10	peak_2165 (-977319), peak_2166 (-755847), peak_2167 (-712710), peak_2168 (-520878), peak_2169 (-30338)
Pcdh12	peak_1729 (+15350)
Pcdh15	peak_462 (-527024), peak_463 (-384111), peak_464 (+314243), peak_465 (+421842)
Pcdh18	peak_2174 (-65383), peak_2173 (-45992)
Pcdh19	peak_3798 (+343170), peak_3797 (+556225), peak_3796 (+943622)
Pcdh20	peak_1203 (-142139)
Pcdh7	peak_2758 (+282770), peak_2759 (+688270)
Pcdh9	peak_1209 (-951743)
Pclo	peak_2684 (-218461), peak_2685 (-112543)
Pcmtd1	peak_10 (-172431), peak_11 (+89130), peak_12 (+198953), peak_13 (+388065), peak_14 (+754865)
Pcnx	peak_825 (+58586)
Pcsk1	peak_1006 (+82055)
Pcsk2	peak_2043 (-112732), peak_2044 (+85426)
Pcsk5	peak_1812 (-104397)
Pctp	peak_677 (+92491)
Pdc	peak_297 (-86604), peak_298 (+18589)
Pdcd1	peak_190 (-342090), peak_189 (-208217), peak_188 (-175807), peak_187 (-97945)
Pde1c	peak_3027 (+62647)
Pde3a	peak_3139 (-38221)
Pde4d	peak_1071 (-144514), peak_1072 (+142158), peak_1073 (+755738)
Pde6h	peak_3134 (+23217)
Pde7a	peak_2121 (-44422), peak_2120 (-24210)
Pde7b	peak_374 (-101181)
Pdgfb	peak_1362 (+33428)
Pdgfc	peak_2235 (+222640), peak_2236 (+278516), peak_2237 (+331266)
Pdha2	peak_2316 (+485727)
Pdk4	peak_2935 (-29218)
Pdyn	peak_2032 (+11756)
Pdzrn3	peak_3080 (-383691)
Pecam1	peak_694 (+24385)
Penk	peak_2339 (-130366), peak_2338 (-28542)
Pet117	peak_2046 (+47774)
Pet2	peak_3742 (-78222), peak_3741 (+411502), peak_3740 (+574720)
Pex2	peak_2089 (-78468)
Pex3	peak_367 (-52074)
Pex5	peak_3122 (-21938)
Pex5l	peak_2149 (-166897)
Pfkp	peak_896 (-482258), peak_895 (-235564), peak_894 (-129704), peak_893 (-86943), peak_892 (-54383)
Pgk2	peak_1608 (-9678), peak_1607 (+81437), peak_1606 (+92086)
Pglyrp3	peak_2249 (-312628)
Phex	peak_3821 (+131912), peak_3820 (+753592)
Phf14	peak_2954 (+44354), peak_2955 (+353169)
Phf19	peak_1917 (+17323)
Phf2	peak_958 (+22137), peak_957 (+88086)
Phf21a	peak_1998 (-18773)
Phf3	peak_76 (+113146), peak_75 (+142683), peak_74 (+206305), peak_73 (+826261), peak_72 (+876890), peak_71 (+978462)
Phf6	peak_3682 (-13547)
Phip	peak_3582 (-75486)
Phkb	peak_3416 (+107585)
Phlda1	peak_525 (+88556)
Phlpp1	peak_217 (-52108)
Phospho1	peak_686 (-14497)
Phtf1	peak_2268 (+51906)
Phtf2	peak_2705 (+511629), peak_2704 (+754703)
Pi15	peak_39 (-211611)
Pi16	peak_1591 (-10774)
Pias1	peak_3555 (-78400)
Pid1	peak_180 (-167340), peak_179 (-95233), peak_178 (+162455)
Piezo2	peak_1755 (-87943), peak_1754 (-62458)
Pigc	peak_311 (-36912)
Pigg	peak_2861 (-12181)
Pign	peak_216 (+95499)
Pih1d3	peak_77 (+78392), peak_78 (+269435)
Pik3c3	peak_1719 (+520716)
Pik3r4	peak_3606 (-12931), peak_3607 (+49437)
Pitpnb	peak_2869 (-43592)
Pitpnc1	peak_698 (+94139), peak_697 (+100436), peak_696 (+104677)
Pitpnm2	peak_2900 (-35279)
Pitrm1	peak_891 (-112273)
Pitx2	peak_2297 (-516320)
Pja2	peak_1651 (-92268)
Pkdcc	peak_1676 (+16193)
Pkhd1	peak_53 (+333029), peak_52 (+618590)
Pkia	peak_2093 (-283808), peak_2094 (-55628)
Pla1a	peak_1427 (+33030)
Plau	peak_1118 (+9307)
Plcb4	peak_2036 (-229982)
Plch1	peak_2204 (+174431)
Plcl1	peak_126 (+76865)
Plcxd3	peak_1244 (-88986)
Plekha6	peak_267 (-36546)
Plet1	peak_3540 (-31329)
Plod2	peak_3589 (+743413)
Plpp1	peak_1082 (-24522)
Plpp7	peak_1910 (+14769)
Pls3	peak_3715 (-124373)
Plxdc2	peak_1888 (-247417), peak_1889 (-95050)
Plxna4	peak_2997 (-192312)
Pmaip1	peak_1758 (-43464), peak_1759 (+84031)
Pmfbp1	peak_3447 (-554768)
Pnisr	peak_2397 (-23303)
Pnma1	peak_828 (-14393)
Pnpt1	peak_607 (-100095)
Poc1b	peak_498 (-32414)
Pof1b	peak_3771 (-141659)
Pole4	peak_3061 (+41657)
Pot1a	peak_2986 (-471266), peak_2985 (-179225)
Poteg	peak_3307 (+113451), peak_3308 (+145067), peak_3309 (+584727)
Pou2f2	peak_3188 (+11282), peak_3187 (+16708)
Pou3f2	peak_2403 (-800016), peak_2402 (-625647), peak_2401 (-612920), peak_2400 (-419532), peak_2399 (-282433), peak_2398 (+24930)
Pou3f4	peak_3766 (-721220), peak_3767 (-396831), peak_3768 (-375307)
Pou5f2	peak_1014 (-73755)
Ppargc1a	peak_2748 (+698744)
Ppef2	peak_2830 (+37467)
Ppfia2	peak_517 (+65389)
Ppip5k2	peak_196 (-95160)
Ppm1d	peak_673 (-13605)
Ppm1h	peak_546 (-46863)
Ppp1r17	peak_3026 (+166394)
Ppp1r3a	peak_2960 (+100708), peak_2959 (+208704)
Ppp1r3b	peak_3320 (-132127)
Ppp1r3f	peak_3625 (+13971)
Ppp2r3a	peak_3599 (-175523)
Ppp2r3c	peak_788 (-8583)
Ppp2r5a	peak_349 (-14024)
Ppp2r5e	peak_819 (-35229)
Ppp4r2	peak_3079 (+174187)
Ppp4r3a	peak_850 (-21751)
Ppp6c	peak_1923 (-465842), peak_1922 (-418993)
Prcp	peak_3231 (+41724)
Prdm1	peak_413 (+49056)
Prdm13	peak_2396 (+106642)
Prelid2	peak_1735 (+76169), peak_1734 (+441186), peak_1733 (+486125)
Prep	peak_414 (-161488)
Prex1	peak_2070 (+56677)
Prim2	peak_85 (+262214), peak_84 (+412882)
Prkaa2	peak_2583 (+46446)
Prkab2	peak_2257 (+93371), peak_2258 (+98941)
Prkcq	peak_1877 (-72357)
Prl2c1	peak_925 (-18912)
Prl4a1	peak_926 (-32557)
Prlhr	peak_1869 (+120273)
Prlr	peak_1256 (-185665)
Prmt2	peak_470 (+14930)
Prmt6	peak_2276 (-75075)
Prmt9	peak_3409 (-12813)
Prok2	peak_3076 (-245178)
Proser2	peak_1873 (+11895)
Prox1	peak_348 (-312633)
Prps1	peak_3802 (-10439), peak_3803 (+54243)
Prr16	peak_1745 (-116029)
Prr18	peak_1550 (+44069)
Prss2	peak_3006 (+21806)
Prss55	peak_1170 (+38704)
Prtg	peak_3564 (+50362)
Psat1	peak_1811 (+584046), peak_1810 (+616401)
Psd3	peak_3387 (+191585)
Psg18	peak_3177 (+24649)
Psg23	peak_3180 (+21104)
Psg26	peak_3179 (+19541)
Psg28	peak_3178 (-21466)
Psg29	peak_3174 (+180225)
Psmd7	peak_3445 (-93843)
Psmg1	peak_1543 (+72419), peak_1542 (+84739)
Pstk	peak_3267 (+10274)
Pstpip2	peak_1778 (+27461)
Ptbp2	peak_2287 (-321735), peak_2286 (-200657)
Ptchd4	peak_1612 (-622873), peak_1613 (-401396), peak_1614 (-308674), peak_1615 (-243397)
Pter	peak_1880 (+21568)
Ptger2	peak_1145 (+32664)
Ptger4	peak_1247 (-22488)
Ptges	peak_1908 (+22305)
Ptgr2	peak_829 (-27029)
Pth2r	peak_142 (+106799), peak_143 (+215289)
Ptpn1	peak_2071 (-101305), peak_2072 (-44194)
Ptpn14	peak_347 (-10732)
Ptpn22	peak_2267 (+25006)
Ptpn4	peak_250 (+93228)
Ptprd	peak_2513 (-994350), peak_2512 (-468579), peak_2511 (-134186)
Ptprk	peak_386 (-33806)
Ptprn2	peak_875 (+61944), peak_876 (+77777)
Ptprr	peak_534 (+5979)
Ptprt	peak_2065 (+515017)
Ptpru	peak_2623 (+160199), peak_2622 (+353282)
Ptprz1	peak_2974 (-122998)
Pudp	peak_1744 (-214161)
Pum3	peak_1823 (+27459)
Pwp1	peak_478 (-221421)
Pxdc1	peak_935 (+132317)
Qdpr	peak_2739 (+35013)
Qk	peak_1551 (-130979)
Qpct	peak_1671 (+19951)
Qrfpr	peak_2153 (-69312)
Rab11fip4	peak_666 (+14119)
Rab22a	peak_2083 (-25952)
Rab28	peak_2730 (+218767)
Rab2a	peak_2351 (-136775), peak_2352 (-92342)
Rab35	peak_2879 (-29814), peak_2880 (-12334)
Rab36	peak_467 (+6850)
Rab38	peak_3225 (+289179)
Rab3c	peak_1077 (-29962), peak_1076 (+273807), peak_1075 (+364326), peak_1074 (+511619)
Rab3gap2	peak_344 (+43591)
Rab7b	peak_264 (-8450)
Rack1	peak_633 (-77638)
Rad51ap2	peak_726 (+92542)
Rag2	peak_2009 (-721239)
Rai14	peak_1257 (+17799)
Ralbp1	peak_1654 (+10744)
Ralgps2	peak_304 (+17289)
Ralyl	peak_2105 (-562953), peak_2106 (-472415), peak_2107 (-246055), peak_2108 (-211542), peak_2109 (-92053)
Rap1gap	peak_2635 (+55651)
Rap2a	peak_1239 (+170743)
Rapgef2	peak_2229 (+178610), peak_2228 (+649963)
Rapgef4	peak_1973 (+23604)
Rarb	peak_1109 (-450082), peak_1108 (-430671), peak_1107 (-398568), peak_1106 (-228079), peak_1105 (-149058)
Rarres1	peak_2211 (-26090)
Rasef	peak_2505 (+39816)
Rasgef1b	peak_2842 (-288412), peak_2841 (-226770)
Rasgrp3	peak_1665 (-36666)
Rasl11b	peak_2792 (-33642)
Rassf3	peak_540 (+8417)
