# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_1729 (+18758)
Enoph1	peak_2843 (+90308)
Enox1	peak_1185 (-34494), peak_1186 (+142886), peak_1187 (+350203)
Enpp4	peak_1618 (-8868)
Enpp5	peak_1616 (-253946), peak_1617 (-134056)
Enpp6	peak_3341 (+158603), peak_3342 (+206118)
Entpd4	peak_1173 (+54176)
Entpd6	peak_2051 (-43899)
Entpd7	peak_1840 (+21753)
Ep300	peak_1363 (-30492)
Epb41l1	peak_2057 (-57733)
Epb41l3	peak_1656 (+90822)
Epb41l4a	peak_1726 (+372051)
Epb41l5	peak_250 (-95449)
Epc1	peak_1693 (+9021)
Epg5	peak_1778 (-116461)
Epgn	peak_2828 (+34046)
Epha10	peak_2617 (+18875)
Epha3	peak_1477 (-586024), peak_1476 (-438304), peak_1475 (-139013), peak_1474 (-104507), peak_1473 (+136062), peak_1472 (+424728)
Epha5	peak_2814 (-336987), peak_2813 (+38543), peak_2812 (+633434)
Epha6	peak_1470 (-764957), peak_1469 (-125530), peak_1468 (+704802), peak_1467 (+712988), peak_1466 (+820806), peak_1465 (+900316)
Epha7	peak_2411 (-351825), peak_2412 (-66148), peak_2413 (+938676)
Ephb1	peak_3600 (-69279)
Ephb2	peak_2634 (-26101)
Ephb4	peak_2920 (+83155)
Ephb6	peak_3006 (-61889)
Epm2a	peak_363 (+187993), peak_364 (+212134)
Eps8	peak_3135 (+27572)
Eps8l2	peak_3273 (+17814)
Eps8l3	peak_2273 (-64687), peak_2274 (-8721)
Epx	peak_675 (+6689)
Eqtn	peak_2566 (+83154)
Erbb4	peak_151 (+483408), peak_150 (+509557), peak_149 (+518277), peak_148 (+638601), peak_147 (+702057)
Erbin	peak_1063 (-75635)
Ercc4	peak_1393 (-513244), peak_1394 (-178241), peak_1395 (-48305), peak_1396 (+72815)
Ercc6l2	peak_984 (+205394)
Ereg	peak_2828 (-13112)
Eri1	peak_3321 (-10454)
Ermard	peak_1558 (+326872)
Erp44	peak_2443 (+110541)
Esd	peak_1182 (+51037)
Esp15	peak_1603 (+127910), peak_1604 (+248611)
Esp24	peak_1602 (-147402)
Esp31	peak_1602 (+251436)
Esp38	peak_1603 (-184486), peak_1604 (-63785), peak_1605 (+39110), peak_1606 (+163170), peak_1607 (+173819)
Esp8	peak_1609 (-148194), peak_1610 (-55681)
Esr1	peak_354 (+299987)
Esx1	peak_3800 (-306576), peak_3799 (-10973)
Esyt1	peak_553 (+8847)
Etaa1	peak_586 (-682423), peak_585 (-669562), peak_584 (-343494), peak_583 (-244660), peak_582 (-98541), peak_581 (-10139), peak_580 (+286156), peak_579 (+435383)
Etl4	peak_1895 (-142883)
Etnk1	peak_3143 (+614213)
Ets2	peak_1542 (+204146), peak_1543 (+216466)
Etv1	peak_754 (-252531), peak_755 (+759087), peak_756 (+785863)
Etv6	peak_3132 (+332892)
Eva1a	peak_3059 (+59008), peak_3060 (+171089)
Evc2	peak_2724 (+161026)
Evl	peak_858 (+18906)
Evx2	peak_1978 (+67234)
Exoc1	peak_2795 (-25008)
Exoc6b	peak_3065 (-15017)
Exog	peak_3619 (+38603)
Ext1	peak_1328 (-227993), peak_1327 (+471997)
Eya1	peak_33 (+196843), peak_32 (+225057), peak_31 (+412881), peak_30 (+572634)
Eya2	peak_2069 (+141700)
Eya4	peak_383 (-281507), peak_382 (-151049), peak_381 (-131163), peak_380 (-126021), peak_379 (+490542)
F11	peak_3339 (+82767)
F13a1	peak_938 (-213962)
F13b	peak_275 (+44992)
F2r	peak_1046 (+34546)
F2rl1	peak_1046 (-58714)
F2rl3	peak_3396 (+83760), peak_3397 (+205906), peak_3398 (+396103)
F9	peak_3689 (-532859), peak_3690 (-149665), peak_3691 (+46456)
Faah	peak_2606 (+45500)
Faap24	peak_3194 (+24085)
Fabp5	peak_2098 (-16933)
Fabp7	peak_437 (-18637)
Fam102a	peak_1911 (-40064), peak_1912 (-10473)
Fam107a	peak_1090 (-48679)
Fam107b	peak_1872 (+128946)
Fam109a	peak_2892 (+30793), peak_2893 (+133295)
Fam110b	peak_2340 (-598608), peak_2341 (-547435), peak_2342 (+175856)
Fam114a2	peak_643 (+172745)
Fam118a	peak_1372 (+48339)
Fam122a	peak_1819 (-25202)
Fam129a	peak_299 (-59178)
Fam129b	peak_1913 (+63925)
Fam135a	peak_60 (+24329)
Fam135b	peak_1354 (+870371)
Fam13c	peak_458 (+66115)
Fam155a	peak_3287 (+412749), peak_3286 (+801702)
Fam160b1	peak_1868 (+56951)
Fam163a	peak_303 (+93029)
Fam166b	peak_2439 (+12198)
Fam171b	peak_1987 (+117780)
Fam172a	peak_1009 (-335661), peak_1010 (-279982), peak_1011 (-170719), peak_1012 (-139217), peak_1013 (+90592), peak_1014 (+242457)
Fam173b	peak_1287 (+100936), peak_1288 (+344473)
Fam174a	peak_190 (-918980), peak_191 (-74642)
Fam180a	peak_3000 (-119939), peak_2999 (-69852)
Fam181b	peak_3231 (-162889), peak_3232 (+76340)
Fam186b	peak_1384 (+10455)
Fam196a	peak_3269 (+259910)
Fam198b	peak_2230 (+134660), peak_2231 (+353443), peak_2232 (+471277), peak_2233 (+857957)
Fam19a1	peak_3070 (-312399), peak_3071 (-271855)
Fam19a3	peak_2269 (+62773)
Fam19a4	peak_3075 (+90879), peak_3074 (+138404), peak_3073 (+437426), peak_3072 (+763315)
Fam204a	peak_1869 (-121334)
Fam210a	peak_1764 (+105037)
Fam214a	peak_3567 (-66556)
Fam216b	peak_1188 (-119566)
Fam220a	peak_2921 (+60685)
Fam228a	peak_717 (+19287)
Fam240b	peak_985 (-151465)
Fam3c	peak_2974 (-396338)
Fam43a	peak_1416 (+113071), peak_1417 (+372226)
Fam46a	peak_3584 (-299229)
Fam49a	peak_726 (-713518), peak_727 (+205548)
Fam49b	peak_1342 (-125493)
Fam53b	peak_3268 (+156975)
Fam60a	peak_3150 (-75243)
Fam69c	peak_1786 (+9978)
Fam76b	peak_3489 (+274152)
Fam78b	peak_322 (-88936), peak_323 (-61591), peak_324 (+195592)
Fam81b	peak_1008 (-40937)
Fam84a	peak_730 (-873933), peak_729 (-569862), peak_728 (-242577)
Fam84b	peak_1338 (+408720), peak_1337 (+427029), peak_1336 (+470515), peak_1335 (+759605)
Fam8a1	peak_951 (-93506)
Fam92a	peak_2364 (-541313), peak_2363 (-295498), peak_2362 (-259103), peak_2361 (-231235), peak_2360 (-153896)
Fam92b	peak_3457 (-272466)
Fam96b	peak_3441 (-53549)
Fam98b	peak_2021 (-42723)
Fancb	peak_3828 (+108598)
Fancc	peak_983 (-5742)
Fancl	peak_598 (+40205), peak_599 (+81409)
Farsb	peak_167 (+75416)
Fasl	peak_310 (+61093)
Fastk	peak_2711 (+9992)
Fat1	peak_3337 (-957681), peak_3338 (-346127)
Fat3	peak_3490 (-105712)
Fat4	peak_2155 (-124250), peak_2156 (+970767)
Fbl	peak_3190 (-29644)
Fbxl13	peak_2706 (+57747)
Fbxl17	peak_1650 (-172153), peak_1649 (-111497), peak_1648 (+252776)
Fbxl4	peak_2398 (+105893)
Fbxl5	peak_2738 (+109158)
Fbxl7	peak_1283 (+213135)
Fbxo10	peak_2442 (+12855)
Fbxo33	peak_796 (-278769)
Fbxo4	peak_1243 (+59087)
Fbxo40	peak_1426 (+20234)
Fbxo47	peak_688 (-19516)
Fbxo7	peak_479 (+212650)
Fbxo8	peak_3352 (+276807), peak_3353 (+489791), peak_3354 (+553802), peak_3355 (+631922)
Fbxw11	peak_612 (-39352)
Fbxw15	peak_3614 (-17408)
Fbxw24	peak_3614 (+40387)
Fbxw7	peak_2242 (+371187)
Fcgbp	peak_3189 (+14210)
Fem1b	peak_3554 (+43873)
Fem1c	peak_1739 (+169722)
Fer1l6	peak_1334 (+104034)
Fermt2	peak_1146 (-28009)
Fez1	peak_3518 (+135328)
Fezf1	peak_2976 (-262537), peak_2975 (-116706)
Fezf2	peak_1094 (-91102)
Fgd4	peak_1400 (+161125)
Fgf10	peak_1085 (-192261), peak_1086 (+282171), peak_1087 (+408127)
Fgf12	peak_1415 (-475139), peak_1414 (+709430)
Fgf13	peak_3690 (-715363), peak_3689 (-332169)
Fgf14	peak_1242 (+866068), peak_1241 (+953856)
Fgf16	peak_3759 (-27561)
Fgf18	peak_613 (+120381)
Fgf20	peak_3328 (+392218), peak_3327 (+557021)
Fgfr3	peak_2721 (+47689)
Fggy	peak_2567 (-450883)
Fhad1	peak_2643 (-42618), peak_2642 (+9880)
Fhit	peak_1093 (+553555)
Fhl2	peak_94 (-62438)
Fhl5	peak_2408 (+134976)
Fibin	peak_2015 (-72864), peak_2014 (+16966)
Fign	peak_1961 (+292304)
Fignl1	peak_566 (-47280)
Fignl2	peak_1387 (+61848)
Fli1	peak_3513 (+22149)
Flrt2	peak_837 (-837200), peak_838 (-444218), peak_839 (-351591), peak_840 (-106579), peak_841 (-74465), peak_842 (+818436)
Flrt3	peak_2039 (-869792), peak_2038 (-431707), peak_2037 (+131116)
Flt1	peak_2925 (+135991)
Fmo1	peak_313 (+46710)
Fmo4	peak_313 (-6228)
Fmo9	peak_323 (-257981), peak_322 (-230636)
Fmr1	peak_3705 (-338840)
Fndc1	peak_1549 (+337976)
Fndc3a	peak_1181 (-269328), peak_1180 (-238194), peak_1179 (-82997), peak_1178 (+183393)
Focad	peak_2544 (+193517), peak_2545 (+266290)
Fosl2	peak_2720 (-147343)
Foxa2	peak_2048 (+575735)
Foxd3	peak_2569 (-250920), peak_2570 (-223107)
Foxf1	peak_3458 (-223398)
Foxg1	peak_776 (-957530), peak_777 (-372739), peak_778 (-325240), peak_779 (-189911)
Foxn3	peak_847 (+464218)
Foxn4	peak_2877 (+62423)
Foxo1	peak_2176 (+123312), peak_2177 (+168970)
Foxo3	peak_410 (+25250)
Foxp2	peak_2961 (+616432)
Foxq1	peak_930 (-564124), peak_931 (-172796)
Fpr-rs3	peak_1573 (-14469)
Frem1	peak_2532 (-190440)
Frem2	peak_2179 (-145387), peak_2178 (-65054)
Frg1	peak_3333 (-855333), peak_3332 (-620865), peak_3331 (-96506)
Frk	peak_396 (+436949)
Frmd3	peak_2507 (+40557)
Frmd4a	peak_1872 (-310468)
Frmd6	peak_812 (-285372)
Frmpd3	peak_3802 (+103911)
Fryl	peak_2789 (+87994)
Fscb	peak_807 (+565463), peak_806 (+782957)
Fshr	peak_1685 (-615665), peak_1684 (-239897), peak_1683 (+46663)
Fsip2	peak_1984 (-447649), peak_1985 (-54976), peak_1986 (+97957)
Fthl17a	peak_3730 (-703836), peak_3731 (+20082), peak_3732 (+261629)
Ftmt	peak_1746 (+116493)
Fundc1	peak_3640 (+58538)
Fut8	peak_820 (-60562), peak_821 (+536494), peak_822 (+541425)
Fut9	peak_2409 (-258076)
Fyb	peak_1250 (+74708)
Fyb2	peak_2583 (+149988)
Fzd1	peak_2662 (-185930)
Fzd10	peak_2907 (-100586), peak_2908 (-64134)
Fzd5	peak_141 (-41988), peak_140 (-15896)
Fzd7	peak_131 (-114239)
Fzd8	peak_1694 (-996635), peak_1695 (-10564)
G2e3	peak_781 (-180049)
G6pd2	peak_2766 (-595848), peak_2767 (-30825), peak_2768 (+417900), peak_2769 (+618595)
Gab2	peak_3235 (+65694), peak_3236 (+146035)
Gabra2	peak_2783 (-429516), peak_2782 (-293443), peak_2781 (-223602)
Gabra3	peak_3712 (-29308), peak_3711 (+77701)
Gabra4	peak_2784 (+102036)
Gabrb1	peak_2785 (+131721)
Gabrg1	peak_2780 (+80076), peak_2779 (+412189)
Gabrg2	peak_626 (+111058), peak_625 (+290440), peak_624 (+619420), peak_623 (+888800), peak_622 (+984257)
Gabrq	peak_3712 (-139942)
Gabrr3	peak_1464 (+50591)
Gad2	peak_1900 (-283855)
Galc	peak_846 (+439865), peak_845 (+581106), peak_844 (+875645)
Galnt1	peak_1711 (+204659), peak_1712 (+237887)
Galnt13	peak_1946 (-177729), peak_1947 (-51013), peak_1948 (+590428)
Galnt18	peak_3253 (-131259)
Galnt3	peak_1962 (+252895)
Galnt7	peak_3360 (-818460), peak_3359 (-645563), peak_3358 (-333040), peak_3357 (-23477)
Galnt9	peak_2868 (+83867)
Galntl6	peak_3365 (-921469), peak_3364 (-868831), peak_3363 (-765155), peak_3362 (-737303), peak_3361 (-709239)
Galr1	peak_1784 (+279117)
Gap43	peak_1435 (+479737)
Gapt	peak_1077 (+47075)
Garem1	peak_1706 (-116645)
Gas1	peak_978 (-248934), peak_977 (-212947)
Gas7	peak_651 (-221438)
Gas8	peak_3459 (+9229)
Gata6	peak_1696 (-203442)
Gatb	peak_2242 (-387664)
Gatsl2	peak_2913 (-843003), peak_2914 (-630791), peak_2915 (-539659)
Gbe1	peak_1495 (-420741), peak_1496 (+669349), peak_1497 (+840047)
Gbp5	peak_2319 (+21712)
Gbp7	peak_2319 (-11730)
Gbp9	peak_2857 (+16519), peak_2856 (+88179)
Gbx2	peak_184 (+465259)
Gc	peak_2823 (+129992), peak_2822 (+345717)
Gca	peak_1960 (+162680)
Gclc	peak_3571 (-79711)
Gcn1l1	peak_2879 (+36840), peak_2880 (+54320)
Gcsam	peak_1440 (-39057)
Gdap1	peak_39 (+244928)
Gdf6	peak_2353 (-120420), peak_2354 (+321095), peak_2355 (+647472), peak_2356 (+834269), peak_2357 (+890209)
Gdi2	peak_881 (-316098), peak_882 (-80663)
Gemin6	peak_1672 (+56584)
Gemin8	peak_3829 (-759754), peak_3830 (-703993), peak_3831 (-535938), peak_3832 (-503505), peak_3833 (-469168), peak_3834 (-344086)
Gfod1	peak_948 (+52521)
Gfra2	peak_1176 (+514638)
Gfral	peak_3570 (+24207)
Ggh	peak_2392 (+253650), peak_2393 (+318710)
Ggnbp1	peak_1588 (+21998)
Ggt5	peak_468 (+14927)
Ggta1	peak_1918 (-142870)
Ghitm	peak_1137 (-258661), peak_1136 (-62713)
Ghr	peak_1243 (-337256)
Gigyf2	peak_181 (-17438)
Gimd1	peak_2300 (-216891)
Gins3	peak_3427 (-22253)
Gja1	peak_435 (+650438), peak_436 (+840369)
Gja10	peak_2419 (+40178)
Gjb1	peak_3757 (-64312)
Gjd2	peak_2018 (+155295)
Gk	peak_3733 (+109183)
Gli2	peak_249 (+228248)
Gli3	peak_906 (-654757), peak_907 (-436785), peak_908 (-211963)
Glis1	peak_2591 (+55004)
Glis3	peak_1825 (-126414), peak_1824 (-83953)
Glra1	peak_639 (-62745)
Glra2	peak_3834 (-499016), peak_3833 (-373934), peak_3832 (-339597), peak_3831 (-307164), peak_3830 (-139109), peak_3829 (-83348), peak_3828 (+238203)
Glrb	peak_2234 (-27619)
Glrx2	peak_287 (+31292)
Glrx5	peak_854 (+16904), peak_855 (+21546)
Gls	peak_121 (+66115)
Glt1d1	peak_2906 (+75393)
Glycam1	peak_1388 (-90465)
Gm10020	peak_1326 (-188276)
Gm10036	peak_1700 (+456318)
Gm10076	peak_1222 (+193710)
Gm10097	peak_354 (-157216)
Gm10110	peak_1204 (-447324)
Gm10118	peak_444 (+185663), peak_443 (+264073)
Gm10134	peak_1904 (+169)
Gm10135	peak_2788 (+41447)
Gm10184	peak_1685 (+94172), peak_1684 (+469940)
Gm10198	peak_1080 (-12391)
Gm10260	peak_1048 (-376117)
Gm10283	peak_3367 (+30331), peak_3366 (+446713), peak_3365 (+669089), peak_3364 (+721727), peak_3363 (+825403), peak_3362 (+853255), peak_3361 (+881319)
Gm10306	peak_2562 (-862997), peak_2563 (-853034), peak_2564 (-353642), peak_2565 (-79271)
Gm10322	peak_438 (-91235)
Gm10358	peak_3402 (+66958)
Gm10375	peak_1142 (-61260)
Gm10428	peak_646 (-2231)
Gm10479	peak_735 (-788648), peak_736 (-42125)
Gm10549	peak_1726 (+170992)
Gm10577	peak_2574 (-33921), peak_2573 (+17764)
Gm10670	peak_3182 (+26537)
Gm10715	peak_3466 (+79475), peak_3467 (+108620), peak_3468 (+138579)
Gm10750	peak_2050 (-167862)
Gm10767	peak_990 (-362892), peak_991 (-69675)
Gm10772	peak_989 (-191476), peak_988 (-99246)
Gm10800	peak_2007 (-499988)
Gm10801	peak_2006 (-354701)
Gm10944	peak_361 (-13656), peak_362 (+293461)
Gm10945	peak_355 (+798380)
Gm10985	peak_2178 (-122677), peak_2179 (-42344), peak_2180 (-2827)
Gm10999	peak_3465 (+7522)
Gm11011	peak_2075 (+498494)
Gm11042	peak_817 (+263131)
Gm11077	peak_3137 (+105652), peak_3138 (+140566), peak_3139 (+481764)
Gm11084	peak_1975 (-61144), peak_1974 (-7453)
Gm11096	peak_1673 (-196364)
Gm11116	peak_2819 (-147835)
Gm11146	peak_1510 (-316191), peak_1509 (-213057), peak_1508 (+408431), peak_1507 (+446964)
Gm11214	peak_2474 (+10506)
Gm11232	peak_2499 (-322573), peak_2498 (-151208), peak_2497 (+323806), peak_2496 (+886391)
Gm1140	peak_3704 (+222180), peak_3703 (+313110), peak_3702 (+679906)
Gm11487	peak_2504 (+110659)
Gm11639	peak_691 (-41772), peak_692 (-28)
Gm11733	peak_710 (-192989)
Gm11758	peak_2506 (+41468)
Gm12166	peak_628 (+38079)
Gm12216	peak_636 (+54993)
Gm12353	peak_2390 (+65123)
Gm12666	peak_2561 (-794160), peak_2560 (-619319), peak_2559 (-45306)
Gm12689	peak_2569 (+109479), peak_2570 (+137292)
Gm12728	peak_2584 (-164138), peak_2585 (-54732), peak_2586 (+387173)
Gm12794	peak_2577 (-12598)
Gm12800	peak_2577 (+18688)
Gm12845	peak_2611 (+4816)
Gm12888	peak_2613 (+29803), peak_2612 (+69908)
Gm13057	peak_2645 (+33471)
Gm13083	peak_2645 (-29823)
Gm13090	peak_2657 (+211081), peak_2658 (+312379)
Gm13124	peak_2646 (-35921)
Gm13691	peak_1988 (+96702), peak_1989 (+204538)
Gm14569	peak_3655 (+31576)
Gm14819	peak_3654 (+418253)
Gm15091	peak_3812 (+78175), peak_3813 (+177660)
Gm15130	peak_2016 (-27496)
Gm15155	peak_3819 (+439700)
Gm15217	peak_1147 (-483687), peak_1148 (-270161), peak_1149 (-167684)
Gm1527	peak_2140 (-25905)
Gm15294	peak_3804 (+47912)
Gm15440	peak_964 (-70882)
Gm156	peak_3125 (-81408)
Gm1587	peak_1187 (+291898), peak_1186 (+499215)
Gm16223	peak_2732 (-54884), peak_2733 (+120630), peak_2734 (+938521)
Gm16405	peak_3683 (-647115)
Gm16427	peak_2834 (-158544), peak_2833 (-71818), peak_2832 (+103442), peak_2831 (+133382)
Gm16432	peak_333 (-55477), peak_334 (+19726)
Gm16519	peak_1661 (+42415)
Gm1661	peak_2609 (+38682)
Gm16867	peak_1173 (+112012)
Gm17190	peak_1047 (-121297)
Gm17455	peak_439 (+140212)
Gm17669	peak_1763 (+349)
Gm17949	peak_1636 (+10916)
Gm19410	peak_3322 (-41420)
Gm19965	peak_237 (+59193), peak_238 (+364180), peak_239 (+401239), peak_240 (+573678), peak_241 (+631272), peak_242 (+682709), peak_243 (+784551), peak_244 (+880693)
Gm2012	peak_3653 (+26887)
Gm20604	peak_852 (-108805)
Gm21188	peak_1088 (-238057)
Gm21293	peak_511 (-459384), peak_512 (-434246), peak_513 (-389595), peak_514 (-150925)
Gm21738	peak_1113 (+107171), peak_1112 (+114883), peak_1111 (+237885)
Gm21830	peak_1965 (-407251)
Gm21876	peak_3648 (-234254), peak_3647 (-86415)
Gm27027	peak_1999 (+109898)
Gm281	peak_1097 (+220834)
Gm28269	peak_3650 (-761839), peak_3649 (-17458)
Gm28363	peak_237 (-834955), peak_238 (-529968), peak_239 (-492909), peak_240 (-320470), peak_241 (-262876), peak_242 (-211439), peak_243 (-109597), peak_244 (-13455)
Gm29106	peak_245 (-103135), peak_246 (-71793), peak_247 (-48102)
Gm34302	peak_2204 (-192681), peak_2203 (-183482)
Gm35060	peak_1723 (+27140)
Gm35911	peak_2841 (-426619), peak_2842 (-364977)
Gm3646	peak_91 (+77049)
Gm37596	peak_2251 (-67588)
Gm379	peak_3762 (+678028)
Gm382	peak_3786 (+91330), peak_3787 (+235222), peak_3788 (+336879)
Gm3952	peak_3464 (-231392), peak_3463 (-150530), peak_3462 (-14670)
Gm4131	peak_1168 (+15991)
Gm4141	peak_3183 (+13208)
Gm428	peak_2505 (+67270)
Gm4301	peak_504 (-122964)
Gm43517	peak_780 (+316849)
Gm436	peak_2647 (+33477)
Gm438	peak_2648 (-30332)
Gm44	peak_3743 (-507025), peak_3744 (-116465), peak_3745 (-46744)
Gm4778	peak_2252 (+2788), peak_2253 (+10149), peak_2254 (+23641)
Gm4788	peak_279 (+64595), peak_278 (+111376), peak_277 (+131187), peak_276 (+193889)
Gm4791	peak_3534 (-582080), peak_3535 (-183863)
Gm4846	peak_321 (+22152)
Gm4861	peak_2308 (-47672), peak_2307 (+110390)
Gm4985	peak_3652 (-49743)
Gm5148	peak_2154 (-401049)
Gm5150	peak_2111 (+77120)
Gm5168	peak_3653 (-153427)
Gm5218	peak_1363 (-55357)
Gm5346	peak_3335 (+31931)
Gm5415	peak_85 (-860287), peak_84 (-709619), peak_83 (-499079), peak_82 (-473351), peak_81 (-118376), peak_80 (+281511)
Gm5447	peak_930 (+17806), peak_931 (+409134)
Gm5538	peak_2194 (-211031), peak_2195 (+53848)
Gm5622	peak_1158 (-36510)
Gm5640	peak_3714 (+12612)
Gm572	peak_2650 (+146940)
Gm5724	peak_3141 (+19893)
Gm5726	peak_3183 (-17276)
Gm5728	peak_3181 (-24131)
Gm5773	peak_2251 (-12342)
Gm5849	peak_2247 (-191938), peak_2246 (-82987)
Gm5861	peak_2675 (-972227), peak_2676 (-610904), peak_2677 (-118527), peak_2678 (+275508)
Gm5878	peak_3065 (+41564)
Gm5916	peak_3516 (-253868), peak_3515 (-106700)
Gm5934	peak_3652 (+492083)
Gm597	peak_70 (-922744), peak_69 (-588133)
Gm609	peak_1439 (-25879)
Gm6133	peak_1779 (+345928)
Gm6268	peak_3655 (+58974)
Gm6377	peak_3764 (+507112), peak_3765 (+634165), peak_3766 (+896302)
Gm6460	peak_2678 (-136376)
Gm6594	peak_1674 (-822910), peak_1675 (-369470)
Gm6657	peak_821 (-418683), peak_822 (-413752)
Gm6741	peak_1686 (+410588), peak_1687 (+528420)
Gm6793	peak_3450 (-468331)
Gm6812	peak_3707 (-353518), peak_3706 (-254272)
Gm6899	peak_598 (-166901), peak_599 (-125697)
Gm7073	peak_3693 (-168973)
Gm7145	peak_245 (+107468), peak_246 (+138810), peak_247 (+162501)
Gm7247	peak_1156 (+21183)
Gm7257	peak_3515 (-196405), peak_3516 (-49237)
Gm7275	peak_1441 (-768646), peak_1442 (-697724), peak_1443 (-160195), peak_1444 (-92111), peak_1445 (-51710)
Gm732	peak_3762 (-38427)
Gm7356	peak_1555 (-12047)
Gm7361	peak_2712 (+122052)
Gm7489	peak_1328 (-310754)
Gm7682	peak_2836 (-53781)
Gm7714	peak_2819 (-9554)
Gm773	peak_3684 (-27659)
Gm7792	peak_2835 (-94860)
Gm7971	peak_2837 (-78265)
Gm7978	peak_2837 (+63033)
Gm8165	peak_1142 (+7926)
Gm8225	peak_1587 (-363)
Gm8247	peak_1144 (+19646)
Gm8251	peak_97 (+27087)
Gm8257	peak_1144 (+54558)
Gm826	peak_2064 (+388536), peak_2063 (+538702), peak_2062 (+671323), peak_2061 (+981247)
Gm8298	peak_2195 (-77413)
Gm8765	peak_963 (+324696)
Gm8888	peak_1381 (-26282)
Gm9008	peak_3053 (-230789), peak_3052 (+970)
Gm904	peak_962 (-114602)
Gm906	peak_961 (+131013), peak_960 (+166292), peak_959 (+228774)
Gm9195	peak_1178 (-34772), peak_1177 (+434658)
Gm9493	peak_1818 (-112020)
Gm9733	peak_2110 (+345020)
Gm9747	peak_172 (-813069), peak_173 (-734479), peak_174 (-59239)
Gm9772	peak_1577 (-50416)
Gm9805	peak_1579 (-41008)
Gm9887	peak_811 (-117607)
Gm9913	peak_2029 (-92770)
Gm9964	peak_665 (-10248)
Gm9992	peak_1549 (-81693)
Gmnc	peak_1413 (+123460)
Gnai1	peak_2700 (-626954), peak_2699 (-492195), peak_2698 (-463570), peak_2697 (-394796), peak_2696 (-182503), peak_2695 (+85276)
Gnal	peak_1760 (-147893)
Gnao1	peak_3426 (-226675)
Gnat3	peak_2694 (-53053), peak_2695 (+312530)
Gnaz	peak_464 (-831051), peak_465 (-723452), peak_466 (-292072)
Gnb4	peak_2148 (-42034)
Gng13	peak_1585 (-54578)
Gng4	peak_903 (-62187)
Gnl3l	peak_3814 (+149446)
Gnmt	peak_1620 (+8756)
Gnpda2	peak_2779 (-838088)
Gns	peak_540 (+102840)
Golga7b	peak_1838 (+70437)
Golph3	peak_1260 (+63403)
Gorab	peak_314 (-306734)
Got2	peak_3429 (-885635), peak_3428 (-171757)
Gp2	peak_3261 (+19298)
Gpam	peak_1863 (+962900)
Gpat3	peak_2844 (+466314)
Gpbp1	peak_1080 (-90283), peak_1079 (+163593)
Gpc5	peak_1229 (-616072), peak_1230 (-425288), peak_1231 (-189092)
Gpc6	peak_1232 (-600067), peak_1233 (-460050), peak_1234 (-284050), peak_1235 (-136897), peak_1236 (-23472), peak_1237 (+332751)
Gphb5	peak_818 (+37366)
Gpm6a	peak_3348 (-105474), peak_3349 (-37095), peak_3350 (+788408)
Gpm6b	peak_3835 (+71975)
Gpnmb	peak_3019 (-28043)
Gpr135	peak_813 (+81909)
Gpr137b	peak_900 (-21773)
Gpr137c	peak_1145 (-199134)
Gpr139	peak_3261 (-255384)
Gpr143	peak_3817 (+191922)
Gpr149	peak_2202 (-667556), peak_2201 (-137737), peak_2200 (+31541)
Gpr155	peak_1976 (+29713)
Gpr157	peak_2656 (-19982)
Gpr158	peak_1896 (-120737), peak_1897 (+125493), peak_1898 (+218259), peak_1899 (+257651)
Gpr165	peak_3750 (-54040)
Gpr173	peak_3816 (-155261)
Gpr37	peak_2984 (+578718), peak_2983 (+597567), peak_2982 (+613761)
Gpr6	peak_408 (+72672)
Gpr63	peak_2408 (+134481)
Gpr68	peak_849 (+29468)
Gprin3	peak_3036 (-981214), peak_3035 (-833226)
Gramd1b	peak_3528 (-36549)
Gramd3	peak_1749 (-73954)
Grb10	peak_567 (+70991)
Grb7	peak_690 (+38751)
Grem2	peak_331 (-423497), peak_330 (-21004)
Gria1	peak_640 (-808085), peak_641 (-279743), peak_642 (-204623), peak_643 (+334048)
Gria2	peak_2233 (+60345), peak_2232 (+447025), peak_2231 (+564859), peak_2230 (+783642)
Gria3	peak_3665 (-445487), peak_3666 (-169641), peak_3667 (-89952), peak_3668 (+375799)
Gria4	peak_3472 (+24153)
Grid1	peak_1130 (+387226), peak_1131 (+584130), peak_1132 (+612496)
Grid2	peak_3038 (-546040), peak_3039 (-260921), peak_3040 (+329779), peak_3041 (+411636)
Grik1	peak_1529 (+186053), peak_1528 (+560475)
Grik2	peak_426 (-320553), peak_425 (+563786), peak_424 (+763280)
Grik3	peak_2618 (-12556)
Grin2a	peak_1391 (+978697)
Grin3a	peak_2449 (-854867), peak_2448 (-785454), peak_2447 (-682554), peak_2446 (-534662)
Grip1	peak_537 (-531859), peak_538 (-49338)
Grm1	peak_362 (+107547)
Grm3	peak_2676 (-846998), peak_2675 (-485675), peak_2674 (+394782)
Grm5	peak_3224 (+398557)
Grm7	peak_3097 (+776146), peak_3098 (+817558)
Grm8	peak_2989 (-43617), peak_2988 (+580573)
Grxcr1	peak_2776 (-114859), peak_2777 (+73967), peak_2778 (+105843)
Gse1	peak_3457 (-38515)
Gsg1	peak_3133 (-40014)
Gsg1l	peak_3264 (+41242)
Gsr	peak_3319 (+46365)
Gtdc1	peak_1929 (+250098)
Gtf2e2	peak_3319 (-32736)
