# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
Ropn1	peak_453 (-77653), peak_454 (+6275)
Ror1	peak_781 (-53099)
Rpa1	peak_180 (+134917)
Rpap2	peak_870 (+90713)
Rph3al	peak_182 (-28896)
Rpia	peak_930 (+703715)
Rpl29	peak_1170 (-45223)
Rpl34	peak_739 (-354566)
Rpl36-ps4	peak_520 (-94318), peak_521 (+13388)
Rpl7a-ps3	peak_391 (-65588)
Rplp1	peak_1139 (+288723)
Rpp21	peak_499 (+42059), peak_498 (+51579)
Rps2-ps6	peak_368 (-17686), peak_367 (+72237)
Rps29	peak_260 (+28253)
Rps6kc1	peak_70 (+220712)
Rragc	peak_796 (+55091), peak_797 (+261040)
Rreb1	peak_302 (-311869)
Rsc1a1	peak_829 (+12911)
Rsl24d1	peak_1153 (+78899)
Rtkn2	peak_98 (-58571)
Rtn1	peak_262 (+105204)
Rtn4rl1	peak_180 (+19610)
Runx3	peak_816 (+8367), peak_817 (+85562)
Ruvbl1	peak_940 (+34491)
Rxfp2	peak_913 (-187162), peak_914 (+176905)
Rxrg	peak_55 (+62706)
Rybp	peak_947 (-282879), peak_946 (+131105)
Ryk	peak_1165 (-42576)
Ryr1	peak_989 (+38447), peak_988 (+105583)
S1pr1	peak_731 (+72916)
S1pr3	peak_307 (-7559)
Sall1	peak_1083 (-227690)
Sall2	peak_351 (-10745)
Samd12	peak_398 (-81590)
Samd4	peak_349 (+204540)
Sap30l	peak_167 (-14906)
Sar1b	peak_165 (+43376)
Sarm1	peak_184 (+8575)
Saysd1	peak_339 (+50854)
Sbk1	peak_1035 (+19180)
Scaf11	peak_419 (-106041)
Scaf4	peak_469 (-14905)
Scara5	peak_359 (+64641)
Scd1	peak_595 (+18976)
Scd2	peak_593 (-44403), peak_594 (-10680)
Scd3	peak_593 (+45985), peak_594 (+79708)
Scd4	peak_595 (+55641)
Schip1	peak_708 (+612640)
Scn4b	peak_1128 (+7564)
Scn8a	peak_427 (+21426)
Scnn1a	peak_958 (+10003)
Scpep1	peak_200 (+81938)
Sdc3	peak_808 (+36693)
Sec61a1	peak_940 (+19005)
Secisbp2l	peak_646 (+51119)
Sel1l3	peak_850 (-44961)
Sema3e	peak_841 (-145353)
Sema4c	peak_11 (-24094)
Sema5b	peak_456 (+118250)
Senp7	peak_464 (+70155)
Sepsecs	peak_849 (+50509)
Sept5	peak_445 (-66438), peak_444 (-56893), peak_443 (-51150)
Sept9	peak_230 (+195393), peak_231 (+226359)
Serac1	peak_476 (+130103)
Serinc2	peak_807 (+11109)
Serp2	peak_373 (-254345), peak_372 (-183617), peak_371 (+85876), peak_370 (+102323), peak_369 (+130842)
Sertad2	peak_145 (-87694), peak_146 (-66026), peak_147 (+105514)
Setbp1	peak_560 (+353976)
Sez6l	peak_872 (-271617)
Sfr1	peak_605 (+24176)
Sfrp2	peak_712 (+23323)
Sgcd	peak_160 (-609496)
Sgcg	peak_355 (-16806)
Sgk1	peak_81 (-105838), peak_82 (+41171)
Sgms2	peak_740 (-19636)
Sgo1	peak_509 (-115249)
Sh2b2	peak_896 (-7632)
Sh2d4a	peak_1069 (-213743)
Sh3glb1	peak_744 (-18099)
Sh3pxd2a	peak_604 (+211020), peak_603 (+224008)
Shc3	peak_308 (-28385)
Shc4	peak_646 (-8364)
Shcbp1l	peak_48 (-79281)
She	peak_718 (-42606)
Shq1	peak_947 (+100793)
Shroom3	peak_867 (+15398)
Sim2	peak_472 (+218247)
Sin3b	peak_1072 (+26507)
Sipa1l2	peak_1109 (+49889)
Skap1	peak_205 (-16828)
Skor1	peak_1144 (+22902), peak_1143 (+37551)
Skp1a	peak_166 (-8002)
Slamf8	peak_63 (+27346)
Slc15a1	peak_380 (+48815)
Slc15a3	peak_576 (+16527)
Slc16a8	peak_405 (-15820)
Slc17a5	peak_1156 (+54842), peak_1155 (+59596)
Slc1a4	peak_146 (-144595), peak_145 (-122927)
Slc1a6	peak_102 (+7296)
Slc24a2	peak_775 (-141925)
Slc25a13	peak_916 (+37834)
Slc25a2	peak_538 (+95077)
Slc25a21	peak_257 (-50258)
Slc25a30	peak_366 (-48657), peak_365 (-42398)
Slc26a5	peak_843 (+55136)
Slc28a2	peak_645 (+40828)
Slc29a2	peak_569 (-21904)
Slc2a10	peak_681 (+138926)
Slc2a5	peak_835 (-17277)
Slc30a2	peak_814 (+13969)
Slc34a1	peak_311 (-18920)
Slc35c1	peak_638 (-69964)
Slc35f1	peak_91 (+13981)
Slc38a1	peak_419 (+75078)
Slc38a4	peak_421 (-117455), peak_420 (+102602)
Slc38a6	peak_263 (+230901)
Slc39a11	peak_226 (+364454)
Slc41a3	peak_941 (+131850)
Slc44a1	peak_767 (-222366)
Slc46a1	peak_184 (+23186)
Slc46a3	peak_905 (-56153)
Slc4a5	peak_932 (+30671)
Slc6a12	peak_957 (+66618)
Slc6a16	peak_1004 (+36339)
Slc6a21	peak_1004 (-5449)
Slc7a1	peak_906 (-51409)
Slc7a13	peak_755 (-51899)
Slc9b1	peak_741 (+62938)
Slco2a1	peak_1166 (+84114)
Slco4a1	peak_696 (-74804)
Slco5a1	peak_6 (+125921)
Smad2	peak_558 (-80281)
Smad3	peak_1145 (-196521)
Smad5	peak_312 (-20681)
Smad6	peak_1147 (-62937), peak_1146 (-28257), peak_1145 (+67544)
Smad7	peak_556 (+34067), peak_557 (+127364)
Smarca2	peak_582 (+240470)
Smarcal1	peak_18 (+58148)
Smgc	peak_415 (+145150)
Smim12	peak_801 (-29734)
Smim15	peak_332 (-971268), peak_333 (-398567)
Smim20	peak_850 (-8725)
Smim23	peak_154 (-101332)
Smim5	peak_228 (-15363)
Smox	peak_649 (-68818)
Smtn	peak_136 (-90120)
Smu1	peak_758 (-80790)
Smug1	peak_435 (-24380), peak_434 (+10548), peak_433 (+71958), peak_432 (+98052)
Snap25	peak_651 (-34340)
Snrpe	peak_40 (+175478)
Snx20	peak_1082 (+8648)
Snx4	peak_451 (+86371)
Soga1	peak_667 (+38621)
Sorl1	peak_1124 (+916467)
Sowahb	peak_867 (+346189)
Sox12	peak_659 (-7950)
Sox13	peak_40 (-10436)
Sox17	peak_1 (-75525)
Sox5	peak_969 (+920576)
Sox9	peak_226 (+419081)
Spag6	peak_611 (+68406)
Spag9	peak_202 (+151084)
Spata4	peak_1067 (+16315)
Spats2	peak_424 (-11093)
Speer3	peak_841 (+88304)
Spidr	peak_442 (-51357)
Spin4	peak_1197 (+35944)
Spink2	peak_863 (-28012)
Spink4	peak_759 (-11416)
Spire1	peak_552 (+79934)
Spire2	peak_1106 (+21099)
Spock1	peak_313 (-159159)
Spred2	peak_143 (-112527), peak_144 (-95639)
Spry2	peak_374 (+163980)
Sptbn2	peak_568 (+27955)
Sptbn5	peak_644 (-19215)
Sptssa	peak_254 (+339636)
Sqle	peak_401 (-34471)
Srcin1	peak_207 (-14623)
Srprb	peak_1167 (-10751)
Srrm2	peak_485 (-8015)
Srsf10	peak_818 (-86625)
Srsf6	peak_673 (-22886)
St18	peak_2 (-104264), peak_3 (-45823)
St3gal1	peak_402 (+73705)
St3gal2	peak_1096 (+29969)
St5	peak_1028 (-54679)
St6galnac5	peak_748 (+218610)
St8sia1	peak_968 (+150152)
Stard3nl	peak_287 (-43324), peak_286 (+130300)
Stat3	peak_211 (-19091)
Stim2	peak_851 (+975941)
Stk24	peak_380 (-77105)
Stk33	peak_1027 (+197748)
Stk35	peak_647 (+108627)
Stmn4	peak_360 (-19324)
Stoml3	peak_704 (+37291)
Ston1	peak_524 (+9274)
Stox2	peak_1065 (-102818), peak_1064 (+20229)
Stra6l	peak_763 (+20025)
Stt3b	peak_1178 (+93593)
Stx11	peak_73 (+42571)
Stx1b	peak_1039 (+13118)
Sulf1	peak_6 (+172937)
Sulf2	peak_682 (-419811)
Sult1c2	peak_509 (+41757)
Sult6b2	peak_968 (-9834)
Sumf2	peak_890 (+19381)
Supt20	peak_705 (-59325)
Svep1	peak_769 (-53921)
Svil	peak_525 (+242220)
Syde2	peak_745 (-8822)
Syn3	peak_108 (-187046)
Syne2	peak_266 (+187062), peak_267 (+334272)
Synj2	peak_476 (+8358)
Synm	peak_1011 (-43938)
Sypl	peak_249 (+75448)
Syt10	peak_414 (+76002), peak_413 (+220220)
Syt15	peak_345 (+14940)
Syt16	peak_264 (+286814)
T	peak_478 (-45218)
Tacc1	peak_1056 (-39357)
Tacc2	peak_1041 (+190050)
Tacr2	peak_96 (+37444)
Taf1c	peak_1102 (+17658)
Tagln2	peak_62 (-9540)
Tarbp1	peak_1111 (-90960), peak_1110 (-22716)
Tarsl2	peak_1010 (-117741)
Tbc1d1	peak_852 (+97038), peak_853 (+138964)
Tbc1d30	peak_130 (+83006)
Tbc1d31	peak_400 (+62578)
Tbcc	peak_507 (+13444)
Tbcel	peak_1125 (-49044)
Tbk1	peak_132 (+70303), peak_131 (+79789)
Tbx19	peak_53 (+141895)
Tbx2	peak_193 (-439621)
Tbx20	peak_1118 (-178490)
Tbx21	peak_206 (+49748)
Tbx3	peak_881 (-572995)
Tc2n	peak_275 (-17557)
Tcaim	peak_1181 (+32341)
Tcerg1	peak_541 (-43947)
Tcf12	peak_1151 (-57692), peak_1150 (-21319), peak_1149 (+302632)
Tcf20	peak_408 (-74702)
Tcf25	peak_1106 (-20012)
Tcf4	peak_553 (+450295)
Tcl1b3	peak_277 (-127640)
Tcte1	peak_503 (-8733)
Tdg	peak_105 (+37265)
Tdrp	peak_1052 (-18433)
Tectb	peak_608 (+27211)
Tef	peak_407 (+25210)
Tekt3	peak_176 (-94530)
Tekt5	peak_438 (+20469)
Tenm2	peak_156 (-110)
Terf2	peak_1092 (+11320)
Tex14	peak_194 (+40703)
Tex24	peak_1059 (+17681)
Tfcp2l1	peak_34 (-168468)
Tfip11	peak_871 (-18625)
Tgds	peak_376 (+42995)
Tgfbi	peak_312 (+72743)
Tgfbr1	peak_766 (+83586)
Tgif1	peak_514 (+143969)
Tgm2	peak_669 (-61221)
Tgm3	peak_647 (-103205)
Thap12	peak_1018 (+27456)
Thegl	peak_862 (+44923)
Thnsl2	peak_931 (+131230)
Thsd4	peak_1138 (-10669)
Tiam1	peak_468 (+89556)
Tigar	peak_961 (+28970)
Tigit	peak_459 (-46822)
Tinagl1	peak_806 (-24531)
Tiprl	peak_54 (-45447)
Tjp1	peak_1010 (-155918)
Tldc1	peak_1103 (-52789)
Tle3	peak_1139 (+252434)
Tle4	peak_580 (+329983)
Tlr1	peak_854 (+106928)
Tlr13	peak_1205 (+28714)
Tlr2	peak_712 (+52123)
Tlr4	peak_770 (-84460)
Tlx1	peak_598 (+71922)
Tlx3	peak_155 (+22571)
Tmbim6	peak_426 (-11982)
Tmc6	peak_234 (+19477)
Tmcc3	peak_112 (+107944)
Tmco5	peak_642 (-803237)
Tmed6	peak_1092 (-19581)
Tmem104	peak_227 (+70743)
Tmem114	peak_437 (+15649)
Tmem115	peak_1173 (-52844)
Tmem120b	peak_885 (+43634)
Tmem131	peak_12 (+154406)
Tmem132a	peak_576 (+10869)
Tmem132b	peak_888 (+57297)
Tmem132d	peak_889 (-119618)
Tmem132e	peak_188 (+46040), peak_189 (+56181)
Tmem161a	peak_1070 (-6606)
Tmem173	peak_532 (-11226)
Tmem174	peak_331 (+64923)
Tmem220	peak_177 (-40651)
Tmem28	peak_1199 (-114394), peak_1200 (+32716)
Tmem30b	peak_263 (+28712)
Tmem40	peak_951 (+41956)
Tmem45b	peak_1119 (+14529)
Tmem50a	peak_815 (+35586)
Tmem52	peak_838 (-17805)
Tmem53	peak_790 (+60891)
Tmtc2	peak_119 (-244068), peak_118 (-226227)
Tmub2	peak_214 (-8574)
Tmx1	peak_261 (+331210)
Tnfrsf11b	peak_398 (+294364)
Tnfrsf13b	peak_170 (+20941)
Tnfrsf1a	peak_958 (-18380)
Tnfrsf9	peak_836 (+37614)
Tnks2	peak_586 (-17029)
Tnp1	peak_19 (+70393)
Tnrc6c	peak_232 (-131172), peak_233 (-58803), peak_234 (+106349)
Tns1	peak_20 (+86799)
Tob1	peak_202 (-64267)
Top1	peak_671 (-194053)
Tpbgl	peak_1020 (+47198)
Tpm3-rs7	peak_375 (+58703)
Tpo	peak_247 (+29569)
Tpp1	peak_1026 (-10023)
Tprkb	peak_938 (+21508)
Tpst1	peak_891 (-41349)
Tpst2	peak_871 (+31042)
Tpt1	peak_365 (-15658), peak_366 (-9399)
Traf5	peak_71 (+103027)
Tram1	peak_7 (+162866)
Trappc11	peak_1065 (+141247)
Trappc3	peak_798 (+16299)
Trat1	peak_460 (+21493)
Treh	peak_1126 (-26689), peak_1127 (-17679)
Trib3	peak_658 (-24823)
Trim14	peak_765 (+29040)
Trim2	peak_713 (-63789)
Trim27	peak_288 (+36722), peak_289 (+54945)
Trim30a	peak_1024 (-36702)
Trim30d	peak_1024 (+5930)
Trim34a	peak_1023 (+12396)
Trim35	peak_360 (+28020)
Trim43b	peak_1157 (-94546)
Trim5	peak_1023 (+31239)
Trio	peak_389 (+277467)
Trit1	peak_795 (+76677)
Trpc1	peak_1159 (-55253)
Trpv4	peak_875 (+10079)
Trub1	peak_609 (-41060)
Tsc22d1	peak_368 (-160548), peak_369 (+10258), peak_370 (+38777), peak_371 (+55224)
Tsga10ip	peak_570 (-21146)
Tshz1	peak_565 (+686194)
Tshz2	peak_689 (+409229)
Tspan17	peak_309 (+123071)
Tspan5	peak_742 (+134434)
Tspyl5	peak_390 (-349231)
Tssc1	peak_246 (+539084)
Ttc1	peak_159 (-28228), peak_158 (-19494)
Ttc23l	peak_386 (-129984)
Ttc29	peak_1073 (-306072)
Ttc6	peak_258 (+390)
Ttll8	peak_412 (+78491)
Tubg1	peak_212 (+24018)
Tubg2	peak_212 (-11951)
Tulp1	peak_489 (-145713), peak_488 (-9935)
Txnrd1	peak_106 (-64560)
Tyrobp	peak_991 (-40083)
Tyrp1	peak_772 (+30565)
Ubac2	peak_381 (-147116)
Ubash3b	peak_1124 (-49768)
Ubc	peak_887 (-16405)
Ube2d2a	peak_532 (-19779)
Ube2q1	peak_718 (+15148)
Ubl3	peak_908 (-333621), peak_907 (-278993), peak_906 (+101349)
Ubxn2b	peak_749 (-497318)
Uggt1	peak_10 (-11208)
Uggt2	peak_377 (+92126)
Unc13a	peak_1071 (+16866)
Unc13c	peak_1153 (+776619)
Unc5a	peak_309 (-36963), peak_310 (+63453)
Unc5cl	peak_508 (+192639)
Uncx	peak_899 (+56342)
Uqcc2	peak_487 (+18600)
Uqcrc2	peak_1031 (-36800)
Urgcp	peak_140 (+24262)
Usp22	peak_170 (+27359)
Usp29	peak_972 (+210871), peak_973 (+217980)
Usp32	peak_192 (+28463)
Usp44	peak_111 (+15181)
Usp46	peak_860 (-57885)
Usp9x	peak_1186 (-197683), peak_1187 (-154824)
Uspl1	peak_912 (+74616)
Utp14b	peak_22 (+66268)
Utp6	peak_185 (+171052)
Utrn	peak_73 (-59956)
Uts2	peak_836 (-31484)
Uvrag	peak_1019 (+294133)
Vbp1	peak_1193 (-38831)
Vdr	peak_422 (+44748)
Vegfa	peak_506 (+226028)
Virma	peak_753 (-30490)
Vmn1r188	peak_292 (-36878)
Vmn1r204	peak_293 (+27639)
Vmn1r205	peak_293 (+9090)
Vmn1r223	peak_294 (+21309), peak_295 (+36769), peak_296 (+50588), peak_297 (+60791), peak_298 (+68560)
Vmn1r237	peak_482 (+56008)
Vmn1r86	peak_975 (-21422)
Vmn1r87	peak_975 (+15718)
Vmn2r58	peak_1000 (+132552)
Vmn2r62	peak_1001 (+42940)
Vmn2r63	peak_1002 (+55117)
Vmn2r86	peak_135 (-14841)
Vmn2r87	peak_135 (+26644)
Vps37b	peak_886 (+33835)
Vps8	peak_446 (-111950)
Vrk1	peak_278 (-153496), peak_279 (-67724), peak_280 (+108233)
Vrtn	peak_270 (-16739)
Vsig8	peak_63 (+7284)
Vstm2l	peak_668 (-162524)
Vwa5b1	peak_825 (-53857)
Vwf	peak_959 (+20154), peak_960 (+51072)
Wdr17	peak_1067 (+101583)
Wdr19	peak_855 (-23711)
Wdr25	peak_281 (+66130)
Wdsub1	peak_629 (-154611)
Wfdc2	peak_675 (-54869), peak_676 (-40180)
Wfs1	peak_848 (-52460)
Wif1	peak_130 (+194223)
Wipf1	peak_635 (-31745), peak_634 (+92834)
Wnt10a	peak_21 (+12829)
Wnt11	peak_1018 (-104572), peak_1019 (+11877)
Wnt2b	peak_728 (-6379)
Wnt3a	peak_169 (+25769)
Wnt4	peak_822 (-159334), peak_823 (-112758)
Wnt7b	peak_410 (-75501), peak_409 (+40652)
Wscd2	peak_873 (-117564)
Wwox	peak_1099 (+16566)
Wwp1	peak_755 (-57833)
Xbp1	peak_139 (-14288)
Xcl1	peak_53 (-83351)
Xkr6	peak_357 (+188678)
Xkr7	peak_662 (+21886)
Xlr	peak_1192 (-177188)
Xpa	peak_764 (-6535)
Xpnpep1	peak_607 (-65492), peak_606 (-11919)
Xpo1	peak_148 (-130953)
Xpot	peak_133 (-66882)
Xxylt1	peak_449 (+207075), peak_448 (+424350)
Xylt1	peak_1029 (-588370)
Yeats4	peak_122 (+49798)
Ykt6	peak_141 (+51961)
Ythdc2	peak_543 (+319180)
Ythdf3	peak_699 (-131241)
Ywhae	peak_181 (-16402)
Ywhaz	peak_393 (+124569), peak_392 (+143413)
Zap70	peak_12 (+23618)
Zbp1	peak_693 (+46906)
Zbtb33	peak_1188 (-9245)
Zbtb38	peak_1163 (-61202), peak_1162 (-6177), peak_1161 (+82186)
Zbtb40	peak_823 (-116036), peak_822 (-69460)
Zbtb43	peak_621 (-154680), peak_620 (-106808), peak_619 (-81785)
Zbtb7c	peak_558 (+341121)
Zbtb8a	peak_804 (-28563)
Zbtb8b	peak_804 (+34139)
Zc2hc1c	peak_271 (+7992)
Zcchc24	peak_341 (+13805)
Zcchc3	peak_659 (+9014)
Zcchc6	peak_315 (-15000)
Zdhhc25	peak_411 (+62388)
Zeb1	peak_526 (+227860)
Zfand3	peak_492 (-73764)
Zfand6	peak_1016 (-89687)
Zfp1	peak_1097 (+37053)
Zfp119b	peak_510 (+13034)
Zfp148	peak_451 (-42948)
Zfp184	peak_291 (-61800)
Zfp217	peak_691 (-157693), peak_690 (-114821), peak_689 (+88315)
Zfp229	peak_483 (+20596)
Zfp239	peak_954 (+28853)
Zfp251	peak_403 (+17384)
Zfp266	peak_1115 (-22567)
Zfp280d	peak_1150 (-141713), peak_1151 (-105340)
Zfp286	peak_175 (+32481)
Zfp287	peak_174 (-17258), peak_173 (+53477)
Zfp30	peak_990 (+8856)
Zfp322a	peak_299 (-31771), peak_298 (+51410), peak_297 (+59179), peak_296 (+69382), peak_295 (+83201), peak_294 (+98661)
Zfp345	peak_656 (-40618)
Zfp354c	peak_164 (+35150)
Zfp362	peak_803 (+28743)
Zfp365	peak_98 (-8365)
Zfp369	peak_317 (+32273)
Zfp36l2	peak_519 (+120728)
Zfp385c	peak_210 (-22966)
Zfp395	peak_358 (-26223)
Zfp414	peak_494 (-42855)
Zfp418	peak_974 (+16935)
Zfp438	peak_525 (+171679)
Zfp442	peak_655 (+38830)
Zfp445	peak_1181 (+28126)
Zfp462	peak_768 (+346370)
Zfp516	peak_565 (+489331)
Zfp532	peak_549 (-59807)
Zfp619	peak_999 (+70594)
Zfp629	peak_1038 (-37712)
Zfp637	peak_953 (-13420)
Zfp638	peak_933 (-46778)
Zfp677	peak_482 (-13777)
Zfp704	peak_697 (-19960)
Zfp706	peak_394 (+51983)
Zfp747	peak_1037 (+12583)
Zfp768	peak_1037 (-18044)
Zfp772	peak_974 (+21733)
Zfp775	peak_926 (+18538)
Zfp777	peak_925 (+22910)
Zfp788	peak_1000 (+106587)
Zfp790	peak_990 (-23265)
Zfp800	peak_917 (+47063)
Zfp820	peak_483 (+91439)
Zfp825	peak_322 (-97659)
Zfp827	peak_1074 (+161601)
Zfp831	peak_695 (+30076)
Zfp846	peak_1115 (-37341)
Zfp90	peak_1090 (+16830)
Zfp947	peak_484 (+84967)
Zfp956	peak_925 (+71814)
Zfp959	peak_510 (+40105)
Zfp960	peak_480 (-66684)
Zfp97	peak_481 (+224559)
Zfpm2	peak_397 (+324167)
Zfx	peak_1196 (+134854)
Zfyve19	peak_643 (-19279)
Zic5	peak_383 (+14054), peak_382 (+31262)
Zmat1	peak_1206 (-26866)
Zmat2	peak_536 (+8250)
Znrf3	peak_139 (-61524)
Zscan2	peak_1015 (-31000)
Zxdb	peak_1197 (+266169)
Zzz3	peak_747 (+82065)

