# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110032F04Rik	peak_1566 (-115438)
Gnai1	peak_1927 (-626954), peak_1926 (-492195), peak_1925 (-394796), peak_1924 (-182503), peak_1923 (+85276)
Gnao1	peak_2461 (-226675)
Gnat3	peak_1922 (-53053), peak_1923 (+312530)
Gnaz	peak_363 (-831051), peak_364 (-723452), peak_365 (-292072)
Gng4	peak_629 (-62187)
Gnl3l	peak_2745 (+149446)
Gnpda2	peak_1990 (-838088)
Gorab	peak_254 (-306734)
Got2	peak_2463 (-885635), peak_2462 (-171757)
Gp2	peak_2330 (+19298)
Gpam	peak_1311 (+962900)
Gpat3	peak_2043 (+466314)
Gpc5	peak_858 (-616072), peak_859 (-425288), peak_860 (-189092)
Gpc6	peak_861 (-600067), peak_862 (-460050), peak_863 (-284050), peak_864 (-136897), peak_865 (-23472), peak_866 (+332751)
Gphb5	peak_586 (+37366)
Gpm6a	peak_2397 (-105474), peak_2398 (+788408)
Gpm6b	peak_2761 (+71975)
Gpnmb	peak_2162 (-28043)
Gpr139	peak_2330 (-255384)
Gpr149	peak_1555 (-137737), peak_1554 (+31541)
Gpr157	peak_1892 (-19982)
Gpr158	peak_1338 (-120737), peak_1339 (+125493), peak_1340 (+218259), peak_1341 (+257651)
Gpr173	peak_2746 (-155261)
Gpr37	peak_2133 (+578718), peak_2132 (+613761)
Gpr63	peak_1718 (+134481)
Gprin3	peak_2174 (-833226)
Gramd1b	peak_2538 (-36549)
Grem2	peak_267 (-423497), peak_266 (-21004)
Gria1	peak_486 (-808085), peak_487 (-279743), peak_488 (-204623), peak_489 (+334048)
Gria2	peak_1582 (+60345), peak_1581 (+447025), peak_1580 (+564859), peak_1579 (+783642)
Gria3	peak_2622 (-445487), peak_2623 (-169641), peak_2624 (-89952), peak_2625 (+375799)
Gria4	peak_2496 (+24153)
Grid1	peak_781 (+584130), peak_782 (+612496)
Grid2	peak_2176 (-546040), peak_2177 (-260921), peak_2178 (+411636)
Grik1	peak_1083 (+186053), peak_1082 (+560475)
Grik2	peak_334 (-320553), peak_333 (+563786), peak_332 (+763280)
Grin3a	peak_1744 (-854867), peak_1743 (-785454), peak_1742 (-682554), peak_1741 (-534662)
Grip1	peak_412 (-531859), peak_413 (-49338)
Grm1	peak_282 (+107547)
Grm3	peak_1906 (-846998), peak_1905 (-485675), peak_1904 (+394782)
Grm5	peak_2302 (+398557)
Grm7	peak_2219 (+776146), peak_2220 (+817558)
Grm8	peak_2138 (-43617), peak_2137 (+580573)
Grxcr1	peak_1987 (-114859), peak_1988 (+73967), peak_1989 (+105843)
Gse1	peak_2485 (-38515)
Gsg1	peak_2241 (-40014)
Gsr	peak_2371 (+46365)
Gtdc1	peak_1351 (+250098)
Gtf2e2	peak_2371 (-32736)
Gtf3c3	peak_100 (+51920), peak_99 (+173425)
Gtpbp10	peak_1895 (-71230)
Gucy1a2	peak_2495 (+210968)
Gulo	peak_809 (-35635)
Gulp1	peak_78 (-306353), peak_79 (-202793), peak_80 (-132166), peak_81 (+407660), peak_82 (+614374), peak_83 (+654311)
Gxylt1	peak_971 (+105373)
Gxylt2	peak_2203 (+53534)
Gypa	peak_2451 (-147918)
H2-M10.4	peak_1124 (-25770)
H2-M11	peak_1124 (-58971)
H2afb3	peak_2719 (-72547)
H2afz	peak_1636 (-205535)
H2al1a	peak_2593 (-334021)
H2al1n	peak_2594 (-20792), peak_2595 (+278485), peak_2596 (+374124)
H2al1o	peak_2590 (-59565), peak_2589 (-23742)
H6pd	peak_1892 (-58360)
Hacd1	peak_1326 (+105738)
Hacd4	peak_1830 (+78006), peak_1829 (+150779)
Hace1	peak_324 (+261184), peak_325 (+786839), peak_326 (+802579)
Hand2	peak_2400 (-493086), peak_2401 (-280102), peak_2402 (-216091), peak_2403 (-137971), peak_2404 (+76192)
Hao1	peak_1428 (+48195)
Hapln1	peak_724 (-382429)
Has2	peak_944 (-213926), peak_943 (-191420), peak_942 (+173704)
Havcr1	peak_479 (+15899)
Hccs	peak_2763 (-91209)
Hcn1	peak_752 (+721079)
Hdac4	peak_143 (-237839)
Hdac9	peak_527 (-204762)
Hdgfl1	peak_646 (-67718), peak_645 (-53640), peak_644 (+524079)
Hdx	peak_2708 (-90988)
Hecw1	peak_630 (-41877)
Herc3	peak_2173 (-120986)
Herpud2	peak_2523 (-81757)
Hgf	peak_1917 (-480459), peak_1918 (-385045), peak_1919 (+203213)
Hhat	peak_277 (+192753)
Hhip	peak_2451 (-287857)
Hibch	peak_98 (+48717)
Hif1a	peak_584 (+45567)
Hivep1	peak_661 (+78349)
Hk2	peak_2195 (-88459)
Hlx	peak_273 (+98324)
Hmg20a	peak_2548 (+18577)
Hmga2	peak_414 (+79187)
Hmgcll1	peak_2555 (-35810), peak_2556 (+174595)
Hmgn3	peak_2567 (+95683)
Hmgn5	peak_2704 (-39681)
Hnf4g	peak_1455 (+427608)
Hnmt	peak_1342 (+110918)
Hpgd	peak_2399 (+55976)
Hps1	peak_1294 (-224963)
Hpse2	peak_1294 (+383372)
Hrasls5	peak_1271 (+68204)
Hrh4	peak_1197 (+575327)
Hs3st1	peak_1949 (-167638), peak_1948 (+34989), peak_1947 (+178741), peak_1946 (+717136)
Hs3st3b1	peak_491 (+116953)
Hs3st4	peak_2332 (-111272)
Hs3st5	peak_314 (-370459), peak_315 (-230759)
Hsd17b12	peak_1406 (-146438)
Hsf2	peak_343 (-456870)
Hspa13	peak_1062 (-32276), peak_1061 (+29814), peak_1060 (+39122)
Htr1a	peak_741 (+349712), peak_742 (+847620)
Htr1b	peak_2561 (+450976)
Htr1f	peak_1038 (+43576), peak_1037 (+58142), peak_1036 (+105360)
Htr2c	peak_2741 (+244168), peak_2742 (+322102)
Htr7	peak_1292 (+823015)
Hyal6	peak_2131 (-59880)
Iars	peak_668 (+339434), peak_669 (+401916), peak_670 (+437195)
Iars2	peak_274 (+81688)
Ibsp	peak_2048 (-14247)
Ibtk	peak_2569 (+122981)
Ice1	peak_690 (+242017)
Icos	peak_103 (+536155), peak_104 (+591592), peak_105 (+609411)
Id2	peak_522 (-650434)
Id4	peak_665 (-521181), peak_666 (+35811)
Ifi204	peak_265 (-26794)
Ifna13	peak_1832 (-23679)
Ifna14	peak_1831 (-13272)
Ifna16	peak_1832 (+8786)
Ifna9	peak_1831 (+7315)
Ifnk	peak_1725 (-109699)
Igfbp2	peak_124 (-85065)
Igfbp3	peak_426 (-656147)
Igfbp7	peak_2004 (-587076), peak_2003 (-287697), peak_2002 (-215517), peak_2001 (-56867)
Igfl3	peak_2271 (-68368)
Igsf10	peak_1549 (-174503), peak_1548 (+57741)
Igsf11	peak_993 (-57698), peak_994 (+916859)
Igsf3	peak_1599 (-13552)
Ikzf5	peak_2334 (+29106)
Il12a	peak_1566 (+62724)
Il12b	peak_477 (-94076)
Il13ra2	peak_2742 (+144576), peak_2741 (+222510)
Il15	peak_2453 (+681696)
Il17a	peak_42 (-25299), peak_43 (+13480)
Il17f	peak_43 (+39885)
Il17rd	peak_779 (+162229)
Il18r1	peak_75 (-7839)
Il1r1	peak_74 (-29986)
Il1r2	peak_74 (+110396)
Il1rap	peak_988 (+284810)
Il1rapl1	peak_2686 (-882542), peak_2685 (-231470), peak_2684 (+648778)
Il1rapl2	peak_2735 (-143706)
Il1rl1	peak_75 (+18540)
Il33	peak_1286 (+51150)
Il5ra	peak_2211 (+351444)
Il7	peak_1463 (-838672), peak_1462 (-515710)
Il7r	peak_880 (-208263)
Immp1l	peak_1416 (+44149)
Impa2	peak_1245 (+42009)
Impad1	peak_1660 (-303331), peak_1659 (-252158), peak_1658 (+524512), peak_1657 (+626336)
Impg1	peak_2561 (-717371)
Inhba	peak_633 (+379870), peak_634 (+488230), peak_635 (+927931)
Inpp4b	peak_2452 (-270037), peak_2453 (+378964)
Ins1	peak_1308 (-804032), peak_1309 (-364676), peak_1310 (+576457)
Insig2	peak_204 (+333690)
Insl5	peak_1857 (+7659)
Intu	peak_1514 (-683060)
Ipmk	peak_358 (+476879)
Ipo11	peak_744 (+286680), peak_743 (+304013), peak_742 (+645699)
Ipo5	peak_868 (-261990)
Iqcf4	peak_2581 (-19837)
Iqcf6	peak_2581 (-35749)
Iqcj	peak_1564 (-138561), peak_1565 (-106042)
Iqcm	peak_2445 (+124990), peak_2446 (+139161), peak_2447 (+649189), peak_2448 (+885272), peak_2449 (+962796)
Iqub	peak_2130 (+23148)
Irak1bp1	peak_2562 (-792166), peak_2563 (-695472), peak_2564 (-470178), peak_2565 (-352942), peak_2566 (-264230)
Irs4	peak_2737 (-101695)
Irx1	peak_695 (-428851), peak_694 (+83983), peak_693 (+472135), peak_692 (+535325), peak_691 (+613300)
Irx2	peak_695 (-236246)
Isl1	peak_751 (+718189)
Isl2	peak_2546 (+97045), peak_2547 (+287687)
Ispd	peak_531 (-38260)
Isx	peak_2442 (-682458), peak_2443 (-388434)
Itga1	peak_751 (-489536)
Itga8	peak_1322 (+323898), peak_1321 (+358457)
Itgb8	peak_616 (-107720), peak_615 (+226902)
Itgbl1	peak_870 (+63300), peak_871 (+151088)
Itm2a	peak_2701 (-95956)
Itpr1	peak_2216 (+59735)
Izumo3	peak_1843 (+246279), peak_1842 (+492270), peak_1841 (+506510)
Jade1	peak_1515 (-219914)
Jade2	peak_484 (-40527)
Jarid2	peak_662 (-321504), peak_663 (+116044)
Jazf1	peak_2165 (-113561)
Jph1	peak_26 (+143693)
Jrkl	peak_2509 (+329739), peak_2508 (+506196)
Kank1	peak_1283 (-49336)
Kap	peak_2239 (+38011), peak_2238 (+108210)
Kcna3	peak_1606 (-113145)
Kcna4	peak_1417 (+686166)
Kcnb2	peak_23 (-228600), peak_24 (+448932)
Kcnc2	peak_404 (+52269), peak_405 (+153661), peak_406 (+601456)
Kcnd2	peak_2119 (-664096), peak_2120 (-504768), peak_2121 (-422049), peak_2122 (-200971), peak_2123 (+178604)
Kcne4	peak_130 (+309713), peak_131 (+564273)
Kcnh1	peak_277 (+387696)
Kcnh7	peak_1380 (-621430), peak_1379 (+357313)
Kcnh8	peak_1143 (-506708), peak_1144 (-59829), peak_1145 (+430091), peak_1146 (+505253), peak_1147 (+514540), peak_1148 (+580523)
Kcnip4	peak_1962 (-142247), peak_1961 (-19714), peak_1960 (+880544)
Kcnj15	peak_1086 (-240216), peak_1087 (-168597)
Kcnj16	peak_501 (-218196), peak_502 (-172194)
Kcnj3	peak_1370 (-409155), peak_1371 (+192887), peak_1372 (+393646), peak_1373 (+505372)
Kcnj4	peak_966 (+11448)
Kcnj6	peak_1087 (-91265), peak_1086 (-19646)
Kcnk16	peak_775 (+11514)
Kcnk5	peak_775 (-75876)
Kcnma1	peak_778 (+594204), peak_777 (+882488)
Kcnmb1	peak_465 (+51021)
Kcnmb2	peak_1504 (-432685), peak_1505 (-361275), peak_1506 (+265452), peak_1507 (+411495)
Kcnn2	peak_1229 (-61488), peak_1230 (+122549)
Kcns3	peak_512 (+118968)
Kcnt2	peak_226 (+71882), peak_227 (+410485), peak_228 (+476796), peak_229 (+773362), peak_230 (+943649)
Kcnv1	peak_923 (-586323), peak_922 (+111525)
Kcnv2	peak_1285 (+79773)
Kctd12	peak_850 (-13061)
Kctd16	peak_1224 (+357631)
Kdm4c	peak_1795 (-197935), peak_1796 (+254098)
Khdrbs2	peak_63 (-871484), peak_64 (-680441), peak_65 (-470985), peak_66 (+93069)
Khdrbs3	peak_959 (-560372), peak_960 (-294863), peak_961 (-42816)
Kif14	peak_216 (+121364)
Kif16b	peak_1435 (-141369), peak_1434 (-45017), peak_1433 (+995855)
Kif20b	peak_1292 (+311997)
Kif26b	peak_271 (-25261), peak_272 (+607937)
Kif2a	peak_745 (-410131)
Kifap3	peak_255 (-7676)
Kitl	peak_388 (-124483), peak_389 (+197082)
Klf12	peak_849 (-506133), peak_848 (-239934), peak_847 (-235586), peak_846 (+94674)
Klf14	peak_2141 (-154455), peak_2140 (-79069)
Klf5	peak_846 (+756399)
Klf6	peak_620 (-918602), peak_621 (-797330), peak_622 (-762843), peak_623 (+574396)
Klf7	peak_108 (+262248), peak_107 (+317219)
Klhl1	peak_843 (-331348), peak_842 (+323988)
Klhl13	peak_2611 (-249423), peak_2610 (+778623)
Klhl14	peak_1205 (+237935)
Klhl2	peak_2423 (-40542)
Klhl24	peak_980 (-72513)
Klhl29	peak_507 (-859361), peak_506 (-109742)
Klhl31	peak_2557 (+38324)
Klhl34	peak_2750 (-48771)
Klhl4	peak_2712 (-864649), peak_2713 (+282264)
Klhl6	peak_980 (-42004)
Klra1	peak_2235 (-368974), peak_2234 (-297239)
Klra17	peak_2233 (+19413)
Klra2	peak_2235 (+491514), peak_2234 (+563249)
Klrg1	peak_2229 (+55056)
Krba1	peak_2161 (-167146)
Krtap11-1	peak_1085 (-333151)
Lair1	peak_2254 (+45039)
Lama2	peak_303 (-424171), peak_302 (+256601)
Lama4	peak_321 (-118665)
Large1	peak_2442 (-837542), peak_2441 (+195557), peak_2440 (+385754), peak_2439 (+507900)
Lbx1	peak_1295 (+44244)
Lca5	peak_2568 (-19628)
Lcorl	peak_1957 (-543727)
Lcp2	peak_465 (-32886)
Ldah	peak_510 (-84085)
Ldb2	peak_1956 (-615584)
Ldhal6b	peak_1091 (+30408)
Ldhd	peak_2478 (+34730)
Ldoc1	peak_2647 (-450849), peak_2648 (-443413), peak_2649 (+260270)
Lef1	peak_1627 (-336302)
Lekr1	peak_1559 (+89576)
Lepr	peak_1854 (+86766)
Lgmn	peak_603 (+26596)
Lhcgr	peak_1187 (-361973)
Lhx9	peak_219 (+53378)
Lifr	peak_878 (+125275), peak_879 (+212425)
Lig1	peak_2265 (-44838)
Lilra6	peak_2254 (-102650)
Lin7a	peak_400 (+94777)
Lingo1	peak_2548 (+198442)
Lingo2	peak_1730 (-425763), peak_1729 (+246914), peak_1728 (+302211)
Lipc	peak_2553 (+30867)
Lipk	peak_1291 (+17251)
Lipn	peak_1291 (-41806)
Lipo2	peak_1290 (+38929)
Lipo3	peak_1290 (-139905)
Lix1	peak_1103 (-187684)
Llph	peak_414 (+170212)
Lmbrd1	peak_49 (+441152), peak_50 (+848045), peak_51 (+912250)
Lmcd1	peak_2219 (-852031), peak_2220 (-810619), peak_2221 (-93846)
Lnpep	peak_1104 (-62307)
Lox	peak_1235 (-13112)
Lpar3	peak_1645 (+135770)
Lpin1	peak_520 (+174194)
Lpp	peak_985 (+797683)
Lrch1	peak_818 (+164456)
Lrfn5	peak_573 (-369300), peak_574 (-154019), peak_575 (+104886), peak_576 (+181519), peak_577 (+239649), peak_578 (+652732)
Lrig3	peak_420 (+229430), peak_421 (+734552)
Lrmda	peak_776 (+816445)
Lrp1b	peak_1350 (+83938), peak_1349 (+569867)
Lrrc17	peak_1933 (+44295)
Lrrc3b	peak_767 (-671558), peak_766 (-618583), peak_765 (-98464), peak_764 (-71022)
Lrrc4	peak_2139 (+179551)
Lrrc40	peak_1652 (+411285)
Lrrc4c	peak_1407 (-903889), peak_1408 (-518703), peak_1409 (-383676), peak_1410 (+112950), peak_1411 (+717421)
Lrrc66	peak_1998 (+129329)
Lrrc69	peak_1685 (+116029)
Lrrc7	peak_1653 (-426007), peak_1652 (+114274)
Lrrc72	peak_530 (-67107), peak_529 (+19137)
Lrriq1	peak_394 (+21979)
Lrriq3	peak_1648 (+216621)
Lrrn1	peak_2212 (-426679), peak_2213 (+421619), peak_2214 (+463817), peak_2215 (+518068)
Lrrtm1	peak_2187 (-514124)
Lrrtm3	peak_347 (-695342)
Lrrtm4	peak_2189 (-734474), peak_2190 (-711561), peak_2191 (+360280)
Lrtm1	peak_780 (-397250)
Lsamp	peak_995 (-866057), peak_996 (-472223), peak_997 (+328056)
Lsm8	peak_2116 (-67695)
Ltbp1	peak_1177 (+393671)
Lurap1l	peak_1808 (+162405), peak_1809 (+239094), peak_1810 (+257160), peak_1811 (+352484), peak_1812 (+489552)
Ly86	peak_655 (-81958)
Ly96	peak_26 (+265763)
Lyplal1	peak_275 (-481233)
Lyrm4	peak_654 (-546099)
Lyst	peak_629 (+131745)
Mab21l1	peak_1538 (+353842)
Macc1	peak_616 (-46061), peak_617 (+128079)
Macrod2	peak_1430 (+144997)
Magea10	peak_2662 (-191627)
Magea4	peak_2661 (-114775)
Mageb16	peak_2673 (-190377), peak_2672 (-148276), peak_2671 (-114783), peak_2670 (-73374), peak_2669 (-46695)
Mageb18	peak_2691 (-343913), peak_2690 (-112940)
Mageb4	peak_2683 (-828244)
Maged2	peak_2745 (-53607)
Magee2	peak_2699 (+135706)
Magi2	peak_1924 (-684193), peak_1925 (-471900), peak_1926 (-374501), peak_1927 (-239742), peak_1928 (+114606), peak_1929 (+421859), peak_1930 (+735581), peak_1931 (+900370)
Mak	peak_660 (+11986)
Mal	peak_1427 (-14641)
Mal2	peak_940 (-120574), peak_941 (+106094)
Mall	peak_1427 (+58596)
Malrd1	peak_1330 (+137498), peak_1331 (+582408)
Man1c1	peak_1884 (+61969), peak_1883 (+70149)
Man2a1	peak_1169 (-176552)
Manea	peak_1719 (+288669)
Manf	peak_2584 (-242656), peak_2583 (-197940), peak_2582 (-26746)
Map10	peak_2486 (-65154)
Map1s	peak_2437 (+153422), peak_2438 (+166349)
Map2	peak_111 (-341862), peak_112 (-44061)
Map2k6	peak_501 (+350715), peak_502 (+396717)
Map3k20	peak_1386 (-280793)
Map3k7	peak_1724 (-436463)
Map4k1	peak_2278 (+31475)
Map7d2	peak_2754 (-16509)
Map7d3	peak_2639 (-58533)
Mapk10	peak_2047 (+67221), peak_2046 (+605717)
Mapre2	peak_1208 (-8706), peak_1209 (+113510)
March1	peak_2424 (-936992), peak_2425 (-823906), peak_2426 (-798764), peak_2427 (-718112), peak_2428 (-667726), peak_2429 (-578792), peak_2430 (-530795), peak_2431 (-284923)
March11	peak_899 (-131194), peak_900 (-60445), peak_901 (-28698), peak_902 (+372850)
March4	peak_123 (-11322)
Marcks	peak_318 (-831790), peak_317 (-796719), peak_316 (-569596)
Mast4	peak_738 (-247936), peak_737 (-238358), peak_736 (-66561)
Mat2b	peak_471 (+31440), peak_470 (+443363)
Mb21d1	peak_2558 (+15473)
Mb21d2	peak_990 (+9332)
Mbnl1	peak_1550 (-263283)
Mbnl2	peak_867 (-213864)
Mc4r	peak_1244 (+317837)
Mc5r	peak_1247 (-8446)
Mcf2	peak_2645 (-21828)
Mcph1	peak_2351 (-561091)
Mctp1	peak_698 (-233665)
Mctp2	peak_2288 (-701095), peak_2287 (-221588)
Mdfic	peak_2112 (-202880), peak_2113 (+533046), peak_2114 (+670452), peak_2115 (+881378)
Mdga2	peak_581 (-765564)
Me3	peak_2304 (-44094), peak_2305 (+126348)
Mecom	peak_1503 (+140254), peak_1502 (+293673), peak_1501 (+918523)
Med10	peak_690 (+585776)
Med12l	peak_1547 (-18650)
Med13l	peak_2064 (+841931)
Med30	peak_937 (-45941), peak_938 (+161717)
Mef2c	peak_713 (-995489), peak_714 (-830077), peak_715 (-703990), peak_716 (-337469)
Megf9	peak_1785 (-899231), peak_1784 (-336646)
Mei1	peak_967 (+18952)
Mei4	peak_2562 (+173704), peak_2563 (+270398), peak_2564 (+495692), peak_2565 (+612928), peak_2566 (+701640)
Meis1	peak_448 (-63624), peak_447 (+382671), peak_446 (+395532), peak_445 (+721600), peak_444 (+820434), peak_443 (+966553)
Memo1	peak_1176 (+184665)
Meox2	peak_532 (-623216), peak_533 (-156554), peak_534 (+52707)
Mettl11b	peak_255 (-46675), peak_254 (+14829)
Mettl13	peak_252 (+58765)
Mettl21e	peak_80 (-200384), peak_79 (-129757), peak_78 (-26197)
Mettl25	peak_399 (-84141)
Mex3b	peak_2295 (+319349)
Mex3c	peak_1249 (-996070), peak_1250 (-223252), peak_1251 (+114614)
Mff	peak_136 (-21579)
Mfge8	peak_2294 (-78618)
Mfhas1	peak_2372 (-81811)
Mfsd1	peak_1563 (-41128), peak_1564 (+170918), peak_1565 (+203437)
Mgat4c	peak_390 (-229754), peak_391 (-50642), peak_392 (+633971), peak_393 (+751970)
Mgme1	peak_1438 (-46268)
Micu3	peak_2379 (+61171)
Mid1ip1	peak_2592 (-192346), peak_2593 (+247846)
Mill1	peak_2272 (+85013)
Mipep	peak_808 (+90723)
Mkl2	peak_975 (-73982)
Mkln1	peak_2140 (-360588), peak_2141 (-285202)
Mlf1	peak_1562 (-211729)
Mllt3	peak_1828 (+352471), peak_1827 (+418789), peak_1826 (+529952)
Mmadhc	peak_1360 (-729419), peak_1359 (-473806), peak_1358 (-303964)
Mme	peak_1555 (-552995)
Mmp16	peak_1690 (-718989), peak_1691 (-635994), peak_1692 (-571791), peak_1693 (-444462), peak_1694 (-402172), peak_1695 (-282381), peak_1696 (+168273), peak_1697 (+368334), peak_1698 (+574822), peak_1699 (+753444)
Mmp24	peak_1444 (+17437)
Mms22l	peak_1716 (-553745), peak_1717 (-212031)
Mndal	peak_265 (+86592)
Mob3b	peak_1727 (-45890), peak_1726 (-23049)
Mon1b	peak_2480 (-984018), peak_2481 (-838096), peak_2482 (-802847)
Morc1	peak_1007 (+116324)
Mospd2	peak_2755 (+411273)
Mpdz	peak_1818 (-941238), peak_1817 (-750930), peak_1816 (-598088), peak_1815 (-568080), peak_1814 (-465904), peak_1813 (-335839), peak_1812 (+42609), peak_1811 (+179677), peak_1810 (+275001), peak_1809 (+293067), peak_1808 (+369756)
Mphosph6	peak_2483 (-176382)
Mpzl1	peak_257 (+108030)
Mrc1	peak_1328 (+59573)
Mrln	peak_357 (+18213)
Mroh2b	peak_875 (-122582)
Mrpl3	peak_2579 (-204826)
Mrpl32	peak_630 (+48062)
Mrps24	peak_425 (-21234)
Mrps30	peak_753 (-135186), peak_752 (+63693)
Mrps33	peak_2150 (-115801)
Msantd4	peak_2496 (+395519)
Msl3l2	peak_341 (-602103), peak_342 (-75723)
Msr1	peak_2378 (-252115), peak_2377 (-87312)
Msx2	peak_673 (-490243)
Mtdh	peak_910 (-214850), peak_911 (-196150)
Mthfd2l	peak_2030 (-21368)
Mthfs	peak_2573 (+267379)
Mtmr6	peak_807 (+61885)
Mtnr1a	peak_2389 (+110127)
Mtpn	peak_2147 (-549490), peak_2146 (-238137), peak_2145 (+93808), peak_2144 (+143895)
Mtus2	peak_2079 (-27503), peak_2080 (+346330)
Mucl2	peak_972 (+243766)
Mug2	peak_2229 (+221065)
Mup21	peak_1761 (-15366)
Mup4	peak_1760 (-10710)
Mup6	peak_1760 (-32018)
Myc	peak_950 (-958666), peak_951 (+536694), peak_952 (+785538)
Mycbp2	peak_851 (-67239)
Mycn	peak_514 (+474227)
Myf5	peak_400 (+119671)
Myo3a	peak_1339 (-734468), peak_1340 (-641702), peak_1341 (-602310)
Myo5b	peak_1252 (-14994)
Myo9b	peak_2437 (-213360), peak_2438 (-200433)
Myom2	peak_2347 (+594621)
Myom3	peak_1885 (+69353)
Myot	peak_1228 (-43967)
Myoz2	peak_1619 (-159614)
Mzt1	peak_845 (+7073), peak_844 (+807927)
N4bp1	peak_2457 (-109599)
N6amt1	peak_1078 (-628841), peak_1079 (-242196), peak_1080 (-204856), peak_1081 (-160944)
Naaladl2	peak_1497 (-466659), peak_1496 (-317312), peak_1495 (-250602), peak_1494 (-185641), peak_1493 (+544696)
Nabp1	peak_97 (+44821)
Naip1	peak_731 (+66303)
Naip6	peak_731 (-62534)
Nalcn	peak_869 (+560067)
Nampt	peak_525 (-401976)
Nanos1	peak_1315 (-153238), peak_1316 (-111980)
Nap1l3	peak_2721 (-628642), peak_2720 (+217755)
Nat3	peak_2433 (+259135)
Nat8l	peak_1943 (+52697)
Nav3	peak_403 (-364315), peak_402 (-224872)
Nbea	peak_1541 (-420598), peak_1540 (-187985), peak_1539 (-25627), peak_1538 (+47349)
Ncam1	peak_2540 (-485098)
Ncam2	peak_1070 (+546958)
Nck2	peak_76 (-219352)
Ndst4	peak_1620 (-327965), peak_1621 (-188460)
Ndufa10	peak_143 (+55680)
Ndufa12	peak_381 (+227782)
Ndufa4	peak_2104 (+158262), peak_2103 (+227510), peak_2102 (+745712)
Nebl	peak_1332 (+453043)
Necab1	peak_1687 (+94394), peak_1686 (+128768)
Nectin3	peak_1003 (-878753), peak_1002 (-807831)
Nedd1	peak_380 (-338009), peak_379 (-86927)
Nedd4l	peak_1243 (-12055)
Negr1	peak_1649 (-117490), peak_1650 (+405373), peak_1651 (+445127)
Nek7	peak_219 (-169302), peak_218 (+307667)
Neto1	peak_1262 (-497215), peak_1263 (-186960)
Neurod4	peak_424 (-22631)
Nfatc1	peak_1257 (-173624)
Nfib	peak_1819 (-239003), peak_1818 (+121263), peak_1817 (+311571), peak_1816 (+464413), peak_1815 (+494421), peak_1814 (+596597), peak_1813 (+726662)
Nfxl1	peak_1996 (+17205)
Ngf	peak_1600 (-33449)
Ngly1	peak_764 (-739271), peak_765 (-711829), peak_766 (-191710), peak_767 (-138735)
Nkain3	peak_1709 (-800754), peak_1708 (-427710), peak_1707 (-31690), peak_1706 (+417805), peak_1705 (+482865)
Nkx2-1	peak_564 (-47695)
Nkx2-6	peak_810 (-62022)
Nkx2-9	peak_564 (+28681)
Nkx6-1	peak_2043 (+352552)
Nln	peak_739 (+113684)
Nlrp1b	peak_493 (-6652)
Nlrp4c	peak_2259 (+36312)
Nmbr	peak_287 (+627035)
Nmnat3	peak_2577 (-46488)
Nmu	peak_2000 (-140527)
Nmur2	peak_488 (-766177), peak_487 (-691057), peak_486 (-162715), peak_485 (+370444)
Nnt	peak_755 (+286171), peak_754 (+412127)
Nobox	peak_2152 (-316462)
Noct	peak_1532 (-260502)
Nol4	peak_1207 (+399390)
Nov	peak_941 (-68242)
Nova1	peak_553 (-766705), peak_552 (+773983), peak_551 (+856189)
Nox3	peak_1090 (-651985)
Nox4	peak_2300 (+129918), peak_2301 (+168591)
Npbwr1	peak_6 (-234232), peak_5 (-76000)
Npm2	peak_812 (-74880)
Npnt	peak_1629 (+121458)
Npsr1	peak_2517 (-813426), peak_2518 (-489459), peak_2519 (-413159), peak_2520 (-116095), peak_2521 (+168501), peak_2522 (+230308)
Npy	peak_2163 (-288872), peak_2164 (-206809)
Npy5r	peak_2432 (+84362)
Npy6r	peak_1228 (+19980)
Nr2e3	peak_2550 (-95223), peak_2549 (-32463)
Nr2f1	peak_706 (-766079), peak_705 (-746134), peak_704 (+60352)
Nr2f2	peak_2286 (+167259)
Nr3c2	peak_2447 (-801792), peak_2448 (-565709), peak_2449 (-488185), peak_2450 (-431430)
Nr4a2	peak_1374 (+168064)
Nr5a2	peak_217 (-389865)
Nrcam	peak_549 (+154253), peak_550 (+408666)
Nrep	peak_1220 (+68671)
Nrg3	peak_790 (-710676), peak_789 (-624089), peak_788 (+930135)
Nrip1	peak_1063 (+376361)
Nrn1	peak_654 (+70852)
Nrp2	peak_106 (-408640)
Nrsn1	peak_644 (-976004), peak_643 (+27797)
Nsmaf	peak_1662 (-195195), peak_1661 (-155326)
Nsun3	peak_1029 (+933587)
Nsun6	peak_1329 (+327711)
Nt5c1b	peak_511 (-686380)
Nt5dc3	peak_371 (+17683), peak_372 (+129940)
Nt5e	peak_2571 (-511970), peak_2572 (-191173)
Ntng1	peak_1607 (+78245)
Ntrk3	peak_2293 (+162420)
Nts	peak_393 (+57029), peak_392 (+175028)
Nuak1	peak_369 (+285242)
Nubpl	peak_562 (+18479)
Nucb2	peak_2329 (+511964)
Nudt12	peak_1160 (-554633)
Nuf2	peak_263 (+810892), peak_262 (+901644)
Nup35	peak_1391 (+518825), peak_1392 (+673304)
Nupl1	peak_806 (+95787)
Nus1	peak_338 (+104030), peak_339 (+231503)
Nwd2	peak_1986 (-51361)
Nxph1	peak_2098 (+197115)
