# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_8	Rp1 (-134105), Sox17 (+1994)
Anti-GFP.mLb.mkD.sorted_peak_31448	Itga4 (-328)
Anti-GFP.mLb.mkD.sorted_peak_31455	Ssfa2 (+953)
Anti-GFP.mLb.mkD.sorted_peak_31460	Dnajc10 (+332)
Anti-GFP.mLb.mkD.sorted_peak_31461	Frzb (+807)
Anti-GFP.mLb.mkD.sorted_peak_31462	Nckap1 (+697)
Anti-GFP.mLb.mkD.sorted_peak_31491	Itgav (+445)
Anti-GFP.mLb.mkD.sorted_peak_31522	Zdhhc5 (-348)
Anti-GFP.mLb.mkD.sorted_peak_31525	Ypel4 (+3322), Serping1 (+38024)
Anti-GFP.mLb.mkD.sorted_peak_31541	Tnks1bp1 (-1871)
Anti-GFP.mLb.mkD.sorted_peak_31570	Ptprj (+219)
Anti-GFP.mLb.mkD.sorted_peak_31580	Kbtbd4 (-16068), C1qtnf4 (+2812)
Anti-GFP.mLb.mkD.sorted_peak_31583	Celf1 (-70410), Ndufs3 (-12383)
Anti-GFP.mLb.mkD.sorted_peak_31592	Spi1 (-17999), Slc39a13 (-7814)
Anti-GFP.mLb.mkD.sorted_peak_31594	Mybpc3 (-16767), Spi1 (+5281)
Anti-GFP.mLb.mkD.sorted_peak_31600	Madd (+5017), Mybpc3 (+60657)
Anti-GFP.mLb.mkD.sorted_peak_31605	Ddb2 (+259)
Anti-GFP.mLb.mkD.sorted_peak_31613	1110051M20Rik (-157)
Anti-GFP.mLb.mkD.sorted_peak_31623	F2 (+6043), Ckap5 (+103609)
Anti-GFP.mLb.mkD.sorted_peak_31624	F2 (+497)
Anti-GFP.mLb.mkD.sorted_peak_31633	Gm9821 (-418)
Anti-GFP.mLb.mkD.sorted_peak_31652	Creb3l1 (-159470), Phf21a (-37590)
Anti-GFP.mLb.mkD.sorted_peak_31664	Mapk8ip1 (+461)
Anti-GFP.mLb.mkD.sorted_peak_31685	Prdm11 (+31)
Anti-GFP.mLb.mkD.sorted_peak_31696	Alx4 (+2403), Ext2 (+177781)
Anti-GFP.mLb.mkD.sorted_peak_31699	Ext2 (+1116), Alx4 (+179068)
Anti-GFP.mLb.mkD.sorted_peak_31740	NONE
Anti-GFP.mLb.mkD.sorted_peak_31767	Ldlrad3 (+327)
Anti-GFP.mLb.mkD.sorted_peak_31772	Pamr1 (-47)
Anti-GFP.mLb.mkD.sorted_peak_31775	Cd44 (+851)
Anti-GFP.mLb.mkD.sorted_peak_31776	Pdhx (-192), Apip (+30)
Anti-GFP.mLb.mkD.sorted_peak_31780	Cat (+431)
Anti-GFP.mLb.mkD.sorted_peak_31799	4931422A03Rik (-139), Fbxo3 (+726)
Anti-GFP.mLb.mkD.sorted_peak_31803	A930018P22Rik (-11)
Anti-GFP.mLb.mkD.sorted_peak_31811	Hipk3 (+572)
Anti-GFP.mLb.mkD.sorted_peak_31823	Tcp11l1 (-268)
Anti-GFP.mLb.mkD.sorted_peak_31828	Qser1 (-390)
Anti-GFP.mLb.mkD.sorted_peak_31836	Them7 (-95663), Wt1 (+2128)
Anti-GFP.mLb.mkD.sorted_peak_31853	Elp4 (-92), Immp1l (+18)
Anti-GFP.mLb.mkD.sorted_peak_31865	Mpped2 (+927)
Anti-GFP.mLb.mkD.sorted_peak_31879	Kcna4 (+241)
Anti-GFP.mLb.mkD.sorted_peak_31884	Lin7c (-214790), Bdnf (+1363)
Anti-GFP.mLb.mkD.sorted_peak_31901	Olfr1298 (-833)
Anti-GFP.mLb.mkD.sorted_peak_31907	Lpcat4 (-79117), Olfr1318 (+5979)
Anti-GFP.mLb.mkD.sorted_peak_31908	Lpcat4 (+1368), Nutm1 (+18455)
Anti-GFP.mLb.mkD.sorted_peak_31910	Slc12a6 (-497), Gm21985 (+8)
Anti-GFP.mLb.mkD.sorted_peak_31917	Aven (+1874), Ryr3 (+535493)
Anti-GFP.mLb.mkD.sorted_peak_31927	Grem1 (+112)
Anti-GFP.mLb.mkD.sorted_peak_31931	Scg5 (+443)
Anti-GFP.mLb.mkD.sorted_peak_31951	Meis2 (+520)
Anti-GFP.mLb.mkD.sorted_peak_31962	Tmco5 (-1538)
Anti-GFP.mLb.mkD.sorted_peak_31969	Fam98b (+481)
Anti-GFP.mLb.mkD.sorted_peak_31974	Thbs1 (-1051)
Anti-GFP.mLb.mkD.sorted_peak_31977	Gpr176 (-146)
Anti-GFP.mLb.mkD.sorted_peak_32009	Disp2 (-529)
Anti-GFP.mLb.mkD.sorted_peak_32011	Knstrn (+770)
Anti-GFP.mLb.mkD.sorted_peak_32015	Bahd1 (-2168)
Anti-GFP.mLb.mkD.sorted_peak_32026	Knl1 (-9604), Rpusd2 (+12887)
Anti-GFP.mLb.mkD.sorted_peak_32036	Dnajc17 (-17), Zfyve19 (+178)
Anti-GFP.mLb.mkD.sorted_peak_32050	Chac1 (-19629), Dll4 (+5816)
Anti-GFP.mLb.mkD.sorted_peak_32054	Chac1 (-394)
Anti-GFP.mLb.mkD.sorted_peak_32069	Ndufaf1 (-3163)
Anti-GFP.mLb.mkD.sorted_peak_32072	Itpka (-5075), Rtf1 (+62194)
Anti-GFP.mLb.mkD.sorted_peak_32087	Mapkbp1 (-424)
Anti-GFP.mLb.mkD.sorted_peak_32094	Ehd4 (+469)
Anti-GFP.mLb.mkD.sorted_peak_32108	Ttbk2 (+400)
Anti-GFP.mLb.mkD.sorted_peak_32109	Ubr1 (-147)
Anti-GFP.mLb.mkD.sorted_peak_32111	Tmem62 (+490)
Anti-GFP.mLb.mkD.sorted_peak_32112	Ccndbp1 (+714)
Anti-GFP.mLb.mkD.sorted_peak_32115	Zscan29 (-816), Tubgcp4 (-131)
Anti-GFP.mLb.mkD.sorted_peak_32125	Strc (+4135), Ckmt1 (+18195)
Anti-GFP.mLb.mkD.sorted_peak_32158	Trim69 (+3272), Patl2 (+22217)
Anti-GFP.mLb.mkD.sorted_peak_32162	Duox2 (-807), Duoxa2 (+72)
Anti-GFP.mLb.mkD.sorted_peak_32163	Duox1 (-1668), Duoxa1 (-311)
Anti-GFP.mLb.mkD.sorted_peak_32164	Duox1 (+4041), Shf (+49205)
Anti-GFP.mLb.mkD.sorted_peak_32175	Gatm (+103)
Anti-GFP.mLb.mkD.sorted_peak_32176	Gatm (-19920), AA467197 (-6627)
Anti-GFP.mLb.mkD.sorted_peak_32182	Sqor (-16629), Bloc1s6 (+26867)
Anti-GFP.mLb.mkD.sorted_peak_32186	Sema6d (-520269)
Anti-GFP.mLb.mkD.sorted_peak_32196	Ctxn2 (-179)
Anti-GFP.mLb.mkD.sorted_peak_32197	Dut (-93038), Slc12a1 (+1552)
Anti-GFP.mLb.mkD.sorted_peak_32208	Shc4 (-626)
Anti-GFP.mLb.mkD.sorted_peak_32211	Shc4 (-42823), Secisbp2l (+16660)
Anti-GFP.mLb.mkD.sorted_peak_32216	Fam227b (-534), Dtwd1 (+397)
Anti-GFP.mLb.mkD.sorted_peak_32220	Slc27a2 (+916)
Anti-GFP.mLb.mkD.sorted_peak_32223	Hdc (-472)
Anti-GFP.mLb.mkD.sorted_peak_32231	Usp50 (+2822), Usp8 (+73262)
Anti-GFP.mLb.mkD.sorted_peak_32235	Sppl2a (+30)
Anti-GFP.mLb.mkD.sorted_peak_32254	Ciao1 (-268), Tmem127 (+176)
Anti-GFP.mLb.mkD.sorted_peak_32258	Gpat2 (+340)
Anti-GFP.mLb.mkD.sorted_peak_32262	Fahd2a (-38068), Kcnip3 (+38752)
Anti-GFP.mLb.mkD.sorted_peak_32270	Mal (-108)
Anti-GFP.mLb.mkD.sorted_peak_32293	Mertk (-6119), Anapc1 (-5446)
Anti-GFP.mLb.mkD.sorted_peak_32294	Mertk (-139)
Anti-GFP.mLb.mkD.sorted_peak_32298	Fbln7 (+1448), Zc3h8 (+79648)
Anti-GFP.mLb.mkD.sorted_peak_32303	Zc3h8 (-164)
Anti-GFP.mLb.mkD.sorted_peak_32305	Zc3h6 (-145), Gm10762 (+468)
Anti-GFP.mLb.mkD.sorted_peak_32309	Ttl (+466)
Anti-GFP.mLb.mkD.sorted_peak_32341	Sirpa (+537)
Anti-GFP.mLb.mkD.sorted_peak_32345	Pdyn (+596)
Anti-GFP.mLb.mkD.sorted_peak_32362	Vps16 (-267), Pced1a (+180)
Anti-GFP.mLb.mkD.sorted_peak_32363	Ptpra (+23)
Anti-GFP.mLb.mkD.sorted_peak_32366	Mrps26 (+541)
Anti-GFP.mLb.mkD.sorted_peak_32368	Oxt (+2805), Avp (+3576)
Anti-GFP.mLb.mkD.sorted_peak_32373	Slc4a11 (+1239), Itpa (+28670)
Anti-GFP.mLb.mkD.sorted_peak_32376	4930402H24Rik (+274)
Anti-GFP.mLb.mkD.sorted_peak_32377	Atrn (+1010), Gfra4 (+135177)
Anti-GFP.mLb.mkD.sorted_peak_32382	Adam33 (+475)
Anti-GFP.mLb.mkD.sorted_peak_32408	Smox (+1231), Adra1d (+69109)
Anti-GFP.mLb.mkD.sorted_peak_32416	Adra1d (+469)
Anti-GFP.mLb.mkD.sorted_peak_32428	Prnd (+4348), Rassf2 (+74791)
Anti-GFP.mLb.mkD.sorted_peak_32439	Slc23a2 (+671)
Anti-GFP.mLb.mkD.sorted_peak_32456	Prokr2 (+420)
Anti-GFP.mLb.mkD.sorted_peak_32461	Gpcpd1 (+811)
Anti-GFP.mLb.mkD.sorted_peak_32491	Plcb4 (-82518), Plcb1 (+873153)
Anti-GFP.mLb.mkD.sorted_peak_32496	Lamp5 (-287645), Plcb4 (+28452)
Anti-GFP.mLb.mkD.sorted_peak_32498	Lamp5 (+657)
Anti-GFP.mLb.mkD.sorted_peak_32500	Ankef1 (-101)
Anti-GFP.mLb.mkD.sorted_peak_32502	Snap25 (-139)
Anti-GFP.mLb.mkD.sorted_peak_32504	Slx4ip (-403), Mkks (-376)
Anti-GFP.mLb.mkD.sorted_peak_32514	Btbd3 (-21255)
Anti-GFP.mLb.mkD.sorted_peak_32528	Macrod2 (+1085), Flrt3 (+275028)
Anti-GFP.mLb.mkD.sorted_peak_32609	Cfap61 (-281), Crnkl1 (+511)
Anti-GFP.mLb.mkD.sorted_peak_32621	Ralgapa2 (+182)
Anti-GFP.mLb.mkD.sorted_peak_32627	Kiz (+108)
Anti-GFP.mLb.mkD.sorted_peak_32630	Nkx2-4 (+944)
Anti-GFP.mLb.mkD.sorted_peak_32631	Nkx2-2 (-145)
Anti-GFP.mLb.mkD.sorted_peak_32633	Pax1 (+48)
Anti-GFP.mLb.mkD.sorted_peak_32645	Foxa2 (-3055)
Anti-GFP.mLb.mkD.sorted_peak_32646	Sstr4 (+731)
Anti-GFP.mLb.mkD.sorted_peak_32647	Thbd (+753)
Anti-GFP.mLb.mkD.sorted_peak_32656	Cstl1 (-4541)
Anti-GFP.mLb.mkD.sorted_peak_32683	Apmap (+133)
Anti-GFP.mLb.mkD.sorted_peak_32691	Vsx1 (+248)
Anti-GFP.mLb.mkD.sorted_peak_32696	Pygb (+304)
Anti-GFP.mLb.mkD.sorted_peak_32722	Rad21l (-1743)
Anti-GFP.mLb.mkD.sorted_peak_32724	Psmf1 (+301)
Anti-GFP.mLb.mkD.sorted_peak_32730	Fam110a (-2696)
Anti-GFP.mLb.mkD.sorted_peak_32744	Scrt2 (+828)
Anti-GFP.mLb.mkD.sorted_peak_32746	Srxn1 (-3865)
Anti-GFP.mLb.mkD.sorted_peak_32767	Nrsn2 (+49)
Anti-GFP.mLb.mkD.sorted_peak_32768	Sox12 (-840)
Anti-GFP.mLb.mkD.sorted_peak_32773	6820408C15Rik (+22041), Defb23 (+26992)
Anti-GFP.mLb.mkD.sorted_peak_32786	Cox4i2 (-1150)
Anti-GFP.mLb.mkD.sorted_peak_32802	Foxs1 (+404)
Anti-GFP.mLb.mkD.sorted_peak_32808	Pdrg1 (+392)
Anti-GFP.mLb.mkD.sorted_peak_32845	Commd7 (+357)
Anti-GFP.mLb.mkD.sorted_peak_32850	Dnmt3b (+852)
Anti-GFP.mLb.mkD.sorted_peak_32852	Mapre1 (+606)
Anti-GFP.mLb.mkD.sorted_peak_32854	Efcab8 (-1508)
Anti-GFP.mLb.mkD.sorted_peak_32861	Cdk5rap1 (+429)
Anti-GFP.mLb.mkD.sorted_peak_32864	Snta1 (+328)
Anti-GFP.mLb.mkD.sorted_peak_32873	Actl10 (-142)
Anti-GFP.mLb.mkD.sorted_peak_32884	Chmp4b (-4997)
Anti-GFP.mLb.mkD.sorted_peak_32902	Dynlrb1 (-101112), Itch (+1937)
Anti-GFP.mLb.mkD.sorted_peak_32911	Ggt7 (-1566), Acss2 (-1534)
Anti-GFP.mLb.mkD.sorted_peak_32915	Gss (-3959)
Anti-GFP.mLb.mkD.sorted_peak_32922	Trpc4ap (+1182), Myh7b (+79990)
Anti-GFP.mLb.mkD.sorted_peak_32923	Edem2 (+544)
Anti-GFP.mLb.mkD.sorted_peak_32927	Mmp24 (+533)
Anti-GFP.mLb.mkD.sorted_peak_32935	Fam83c (+495)
Anti-GFP.mLb.mkD.sorted_peak_32938	Gm15557 (+2108), Gdf5 (+2531)
Anti-GFP.mLb.mkD.sorted_peak_32954	Nfs1 (+26), Romo1 (+121)
Anti-GFP.mLb.mkD.sorted_peak_32965	Cnbd2 (-461), Scand1 (+866)
Anti-GFP.mLb.mkD.sorted_peak_33010	Myl9 (-20)
Anti-GFP.mLb.mkD.sorted_peak_33012	Tgif2 (-59160), Myl9 (+5427)
Anti-GFP.mLb.mkD.sorted_peak_33034	Samhd1 (+385)
Anti-GFP.mLb.mkD.sorted_peak_33035	Rbl1 (+895)
Anti-GFP.mLb.mkD.sorted_peak_33052	Nnat (-134664), Src (+1173)
Anti-GFP.mLb.mkD.sorted_peak_33104	D630003M21Rik (+474)
Anti-GFP.mLb.mkD.sorted_peak_33105	Bpi (+390)
Anti-GFP.mLb.mkD.sorted_peak_33112	Arhgap40 (-1725)
Anti-GFP.mLb.mkD.sorted_peak_33117	Actr5 (-12042), Slc32a1 (+2079)
Anti-GFP.mLb.mkD.sorted_peak_33126	Dhx35 (+166)
Anti-GFP.mLb.mkD.sorted_peak_33147	Zhx3 (-574)
Anti-GFP.mLb.mkD.sorted_peak_33166	Srsf6 (+254)
Anti-GFP.mLb.mkD.sorted_peak_33186	Gtsf1l (-116400), Tox2 (-21199)
Anti-GFP.mLb.mkD.sorted_peak_33218	Ttpal (+5394), Serinc3 (+37423)
Anti-GFP.mLb.mkD.sorted_peak_33225	Kcnk15 (+4789), Rims4 (+60243)
Anti-GFP.mLb.mkD.sorted_peak_33238	Pabpc1l (-73)
Anti-GFP.mLb.mkD.sorted_peak_33241	Kcns1 (+1623), Stk4 (+95352)
Anti-GFP.mLb.mkD.sorted_peak_33242	Kcns1 (-7448), Wfdc5 (+4181)
Anti-GFP.mLb.mkD.sorted_peak_33248	Matn4 (+376)
Anti-GFP.mLb.mkD.sorted_peak_33277	Tnnc2 (+2413), Ube2c (+7430)
Anti-GFP.mLb.mkD.sorted_peak_33295	Zfp335 (+410)
Anti-GFP.mLb.mkD.sorted_peak_33298	Slc12a5 (-18677), Mmp9 (+1087)
Anti-GFP.mLb.mkD.sorted_peak_33306	Ncoa5 (+713)
Anti-GFP.mLb.mkD.sorted_peak_33307	Cd40 (-4631)
Anti-GFP.mLb.mkD.sorted_peak_33334	Elmo2 (-37652), Zfp663 (+4598)
Anti-GFP.mLb.mkD.sorted_peak_33335	Zfp663 (+616)
Anti-GFP.mLb.mkD.sorted_peak_33338	Zfp334 (-8427), Ocstamp (+3719)
Anti-GFP.mLb.mkD.sorted_peak_33401	Sulf2 (+1931), Ncoa3 (+161095)
Anti-GFP.mLb.mkD.sorted_peak_33439	Prex1 (-449)
Anti-GFP.mLb.mkD.sorted_peak_33485	B4galt5 (+785)
Anti-GFP.mLb.mkD.sorted_peak_33498	Snai1 (-34020), Spata2 (-11288)
Anti-GFP.mLb.mkD.sorted_peak_33518	Cebpb (+616)
Anti-GFP.mLb.mkD.sorted_peak_33535	Ptpn1 (-13)
Anti-GFP.mLb.mkD.sorted_peak_33542	Ripor3 (+4190), Ptpn1 (+74101)
Anti-GFP.mLb.mkD.sorted_peak_33564	Gm20716 (-978), Dpm1 (-963), Mocs3 (+720)
Anti-GFP.mLb.mkD.sorted_peak_33608	Nfatc2 (-123508), Atp9a (+28032)
Anti-GFP.mLb.mkD.sorted_peak_33671	Tshz2 (-243)
Anti-GFP.mLb.mkD.sorted_peak_33736	Cyp24a1 (+505)
Anti-GFP.mLb.mkD.sorted_peak_33755	Cbln4 (+662)
Anti-GFP.mLb.mkD.sorted_peak_33825	Spo11 (-2351)
Anti-GFP.mLb.mkD.sorted_peak_33837	Ctcfl (+494)
Anti-GFP.mLb.mkD.sorted_peak_33869	Pmepa1 (-240765), 1700021F07Rik (-5288)
Anti-GFP.mLb.mkD.sorted_peak_33875	Rab22a (+632)
Anti-GFP.mLb.mkD.sorted_peak_33876	Vapb (+181)
Anti-GFP.mLb.mkD.sorted_peak_33883	Stx16 (-806)
Anti-GFP.mLb.mkD.sorted_peak_33884	Npepl1 (+528)
Anti-GFP.mLb.mkD.sorted_peak_33893	Gnas (+311)
Anti-GFP.mLb.mkD.sorted_peak_33894	Nelfcd (-86226), Gnas (+31719)
Anti-GFP.mLb.mkD.sorted_peak_33896	Nelfcd (+304)
Anti-GFP.mLb.mkD.sorted_peak_33898	Ctsz (+218)
Anti-GFP.mLb.mkD.sorted_peak_33899	Atp5e (-76)
Anti-GFP.mLb.mkD.sorted_peak_33900	Prelid3b (-86)
Anti-GFP.mLb.mkD.sorted_peak_33903	Edn3 (-115945), Zfp831 (+1140)
Anti-GFP.mLb.mkD.sorted_peak_33947	Zfp931 (-64044), Phactr3 (-32880)
Anti-GFP.mLb.mkD.sorted_peak_33948	Phactr3 (+57)
Anti-GFP.mLb.mkD.sorted_peak_33949	Sycp2 (+143)
Anti-GFP.mLb.mkD.sorted_peak_33977	Osbpl2 (-877)
Anti-GFP.mLb.mkD.sorted_peak_33990	Cables2 (+178)
Anti-GFP.mLb.mkD.sorted_peak_33994	Gata5 (-112)
Anti-GFP.mLb.mkD.sorted_peak_34000	Ntsr1 (-36062), Slco4a1 (+2935)
Anti-GFP.mLb.mkD.sorted_peak_34002	Ntsr1 (+114)
Anti-GFP.mLb.mkD.sorted_peak_34005	Mrgbp (+707)
Anti-GFP.mLb.mkD.sorted_peak_34006	Ogfr (+418)
Anti-GFP.mLb.mkD.sorted_peak_34023	Bhlhe23 (+1102), Slc17a9 (+50535)
Anti-GFP.mLb.mkD.sorted_peak_34036	Kcnq2 (-327)
Anti-GFP.mLb.mkD.sorted_peak_34038	Eef1a2 (-15)
Anti-GFP.mLb.mkD.sorted_peak_34053	Zbtb46 (+280)
Anti-GFP.mLb.mkD.sorted_peak_34054	Tpd52l2 (-1277)
Anti-GFP.mLb.mkD.sorted_peak_34056	Uckl1 (+530)
Anti-GFP.mLb.mkD.sorted_peak_34059	Sox18 (+11852), Prpf6 (+58469)
Anti-GFP.mLb.mkD.sorted_peak_34067	Pcmtd2 (+192)
Anti-GFP.mLb.mkD.sorted_peak_34075	Hnf4g (+125)
Anti-GFP.mLb.mkD.sorted_peak_34088	Zfhx4 (+22)
Anti-GFP.mLb.mkD.sorted_peak_34107	Zc2hc1a (+26)
Anti-GFP.mLb.mkD.sorted_peak_34122	Hey1 (+334)
Anti-GFP.mLb.mkD.sorted_peak_34145	Zbtb10 (+235)
Anti-GFP.mLb.mkD.sorted_peak_34186	Fabp5 (-273)
Anti-GFP.mLb.mkD.sorted_peak_34195	Zfand1 (+197)
Anti-GFP.mLb.mkD.sorted_peak_34198	Snx16 (+371)
Anti-GFP.mLb.mkD.sorted_peak_34221	Ralyl (+752)
Anti-GFP.mLb.mkD.sorted_peak_34224	Lrrcc1 (+482)
Anti-GFP.mLb.mkD.sorted_peak_34232	Car2 (+348)
Anti-GFP.mLb.mkD.sorted_peak_34278	Pde7a (-368)
Anti-GFP.mLb.mkD.sorted_peak_34317	Tbl1xr1 (-184)
Anti-GFP.mLb.mkD.sorted_peak_34354	Nlgn1 (+179161)
Anti-GFP.mLb.mkD.sorted_peak_34355	Nlgn1 (-212)
Anti-GFP.mLb.mkD.sorted_peak_34368	Ghsr (+619)
Anti-GFP.mLb.mkD.sorted_peak_34378	Fndc3b (+528)
Anti-GFP.mLb.mkD.sorted_peak_34393	Slc2a2 (-2121)
Anti-GFP.mLb.mkD.sorted_peak_34396	Eif5a2 (+478)
Anti-GFP.mLb.mkD.sorted_peak_34406	Mecom (+914)
Anti-GFP.mLb.mkD.sorted_peak_34407	Mecom (-4927)
Anti-GFP.mLb.mkD.sorted_peak_34413	Mynn (-2303), Actrt3 (+177)
Anti-GFP.mLb.mkD.sorted_peak_34420	Sec62 (+732)
Anti-GFP.mLb.mkD.sorted_peak_34422	Gpr160 (+255)
Anti-GFP.mLb.mkD.sorted_peak_34424	Phc3 (+302)
Anti-GFP.mLb.mkD.sorted_peak_34444	Slc7a14 (+335)
Anti-GFP.mLb.mkD.sorted_peak_34459	Zmat3 (+625)
Anti-GFP.mLb.mkD.sorted_peak_34461	Pik3ca (-37904), Zmat3 (-32569)
Anti-GFP.mLb.mkD.sorted_peak_34465	Mfn1 (+925)
Anti-GFP.mLb.mkD.sorted_peak_34467	Gnb4 (+1566), Mfn1 (+85554)
Anti-GFP.mLb.mkD.sorted_peak_34478	Usp13 (+4)
Anti-GFP.mLb.mkD.sorted_peak_34486	Ttc14 (+256)
Anti-GFP.mLb.mkD.sorted_peak_34487	Ccdc39 (+4804), Ttc14 (+39246)
Anti-GFP.mLb.mkD.sorted_peak_34488	Ccdc39 (+222)
Anti-GFP.mLb.mkD.sorted_peak_34569	Exosc9 (-31357), 1810062G17Rik (+45312)
Anti-GFP.mLb.mkD.sorted_peak_34577	Trpc3 (-296)
Anti-GFP.mLb.mkD.sorted_peak_34608	Ankrd50 (+760)
Anti-GFP.mLb.mkD.sorted_peak_34611	Fat4 (-571)
Anti-GFP.mLb.mkD.sorted_peak_34623	Slc25a31 (-174)
Anti-GFP.mLb.mkD.sorted_peak_34625	Plk4 (+205)
Anti-GFP.mLb.mkD.sorted_peak_34626	Mfsd8 (+92)
Anti-GFP.mLb.mkD.sorted_peak_34628	Abhd18 (-35)
Anti-GFP.mLb.mkD.sorted_peak_34629	Larp1b (-320)
Anti-GFP.mLb.mkD.sorted_peak_34630	Pgrmc2 (-153)
Anti-GFP.mLb.mkD.sorted_peak_34648	D3Ertd751e (-806), Sclt1 (+702)
Anti-GFP.mLb.mkD.sorted_peak_34672	Pcdh10 (+402)
Anti-GFP.mLb.mkD.sorted_peak_34689	Pcdh18 (+231)
Anti-GFP.mLb.mkD.sorted_peak_34712	Noct (+53250), Elf2 (+62966)
Anti-GFP.mLb.mkD.sorted_peak_34717	Elf2 (-549)
Anti-GFP.mLb.mkD.sorted_peak_34726	Mgarp (-1435)
Anti-GFP.mLb.mkD.sorted_peak_34733	Rab33b (-42)
Anti-GFP.mLb.mkD.sorted_peak_34739	Setd7 (-1172)
Anti-GFP.mLb.mkD.sorted_peak_34763	Foxo1 (+740)
Anti-GFP.mLb.mkD.sorted_peak_34809	Trpc4 (+192)
Anti-GFP.mLb.mkD.sorted_peak_34812	Supt20 (-182)
Anti-GFP.mLb.mkD.sorted_peak_34815	Alg5 (-74), Exosc8 (-72)
Anti-GFP.mLb.mkD.sorted_peak_34826	Sertm1 (+387)
Anti-GFP.mLb.mkD.sorted_peak_34832	Ccdc169 (-22612), Spg20 (+5260)
Anti-GFP.mLb.mkD.sorted_peak_34833	Ccdc169 (-60)
Anti-GFP.mLb.mkD.sorted_peak_34834	Sohlh2 (+191)
Anti-GFP.mLb.mkD.sorted_peak_34836	Dclk1 (+736)
Anti-GFP.mLb.mkD.sorted_peak_34839	Mab21l1 (-409)
Anti-GFP.mLb.mkD.sorted_peak_34844	Nbea (+739)
Anti-GFP.mLb.mkD.sorted_peak_34856	Wwtr1 (+1051), Tm4sf4 (+149545)
Anti-GFP.mLb.mkD.sorted_peak_34857	Commd2 (+78)
Anti-GFP.mLb.mkD.sorted_peak_34860	Rnf13 (-478)
Anti-GFP.mLb.mkD.sorted_peak_34861	Pfn2 (+467)
Anti-GFP.mLb.mkD.sorted_peak_34867	Serp1 (-209), Eif2a (+280)
Anti-GFP.mLb.mkD.sorted_peak_34870	Erich6 (+850)
Anti-GFP.mLb.mkD.sorted_peak_34880	Med12l (+486)
Anti-GFP.mLb.mkD.sorted_peak_34893	Mbnl1 (+613)
Anti-GFP.mLb.mkD.sorted_peak_34911	Dhx36 (-96735), Gpr149 (+1401)
Anti-GFP.mLb.mkD.sorted_peak_34919	Mme (+329)
Anti-GFP.mLb.mkD.sorted_peak_34933	Kcnab1 (+457)
Anti-GFP.mLb.mkD.sorted_peak_34943	Tiparp (+63)
Anti-GFP.mLb.mkD.sorted_peak_34977	Mlf1 (-70)
Anti-GFP.mLb.mkD.sorted_peak_35020	Ppm1l (-92798), Arl14 (+1644)
Anti-GFP.mLb.mkD.sorted_peak_35031	Sptssb (-755)
Anti-GFP.mLb.mkD.sorted_peak_35042	Sis (-85648), Slitrk3 (+3432)
Anti-GFP.mLb.mkD.sorted_peak_35043	Slitrk3 (-137)
Anti-GFP.mLb.mkD.sorted_peak_35044	Bche (+266)
Anti-GFP.mLb.mkD.sorted_peak_35091	Etfdh (-1120), 4930579G24Rik (+904)
Anti-GFP.mLb.mkD.sorted_peak_35095	Rxfp1 (-83816), Tmem144 (+21069)
Anti-GFP.mLb.mkD.sorted_peak_35097	Fam198b (+1991), Gria2 (+916311)
Anti-GFP.mLb.mkD.sorted_peak_35105	Gria2 (+1128), Fam198b (+917174)
Anti-GFP.mLb.mkD.sorted_peak_35106	Glrb (+208)
Anti-GFP.mLb.mkD.sorted_peak_35111	Pdgfc (+607)
Anti-GFP.mLb.mkD.sorted_peak_35126	Gucy1b3 (+344)
Anti-GFP.mLb.mkD.sorted_peak_35127	Gucy1a3 (-63)
Anti-GFP.mLb.mkD.sorted_peak_35130	Npy2r (-399)
Anti-GFP.mLb.mkD.sorted_peak_35131	Rbm46 (+237)
Anti-GFP.mLb.mkD.sorted_peak_35132	Lrat (-27)
Anti-GFP.mLb.mkD.sorted_peak_35134	Fgg (-39)
Anti-GFP.mLb.mkD.sorted_peak_35136	Dchs2 (+458)
Anti-GFP.mLb.mkD.sorted_peak_35151	Tlr2 (-197004), Tmem131l (+1404)
Anti-GFP.mLb.mkD.sorted_peak_35153	Mnd1 (+452)
Anti-GFP.mLb.mkD.sorted_peak_35165	Trim2 (-34009), Fhdc1 (+175629)
Anti-GFP.mLb.mkD.sorted_peak_35191	Fbxw7 (+516)
Anti-GFP.mLb.mkD.sorted_peak_35203	Glt28d2 (-84284), Prss48 (+30691)
Anti-GFP.mLb.mkD.sorted_peak_35212	Lrba (-253)
Anti-GFP.mLb.mkD.sorted_peak_35215	Mab21l2 (+923)
Anti-GFP.mLb.mkD.sorted_peak_35226	Mab21l2 (-371128), Dclk2 (+1441)
Anti-GFP.mLb.mkD.sorted_peak_35254	Arhgef11 (-62534), Etv3 (+29634)
Anti-GFP.mLb.mkD.sorted_peak_35259	Lrrc71 (+3024), Arhgef11 (+128024)
Anti-GFP.mLb.mkD.sorted_peak_35283	Bcan (+330)
Anti-GFP.mLb.mkD.sorted_peak_35321	Paqr6 (+1598), Bglap3 (+6556)
Anti-GFP.mLb.mkD.sorted_peak_35324	Bglap3 (-3805)
Anti-GFP.mLb.mkD.sorted_peak_35329	Slc25a44 (-349)
