# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1110004E09Rik	peak_1985 (+30812)
Gm15155	peak_5027 (+439700)
Gm15217	peak_1490 (-270161), peak_1491 (-167684)
Gm1527	peak_2859 (-25905)
Gm15294	peak_5011 (+47912)
Gm1587	peak_1549 (+291898)
Gm16223	peak_3593 (-54884), peak_3594 (+120630)
Gm16427	peak_3704 (-71818), peak_3703 (+103442)
Gm16432	peak_383 (-55477), peak_384 (+19726)
Gm16519	peak_2184 (+27865)
Gm1661	peak_3406 (+22724)
Gm17455	peak_527 (+140212)
Gm17669	peak_2326 (+349)
Gm19410	peak_4397 (-41420)
Gm19965	peak_268 (+59193), peak_269 (+364180), peak_270 (+401239)
Gm2012	peak_4854 (+26887)
Gm21293	peak_634 (-150925)
Gm21738	peak_1440 (+107171), peak_1439 (+114883), peak_1438 (+237885)
Gm21876	peak_4848 (-86415)
Gm281	peak_1424 (-19531)
Gm28269	peak_4851 (-761839), peak_4850 (-17458)
Gm28363	peak_271 (-320470), peak_272 (-262876), peak_273 (-211439), peak_274 (-109597), peak_275 (-13455)
Gm29106	peak_276 (-103135), peak_277 (-71793), peak_278 (-48102)
Gm34302	peak_2932 (-183482)
Gm35060	peak_2271 (+27140)
Gm382	peak_4992 (+91330)
Gm3952	peak_4598 (-14670)
Gm4141	peak_4180 (+13208)
Gm4301	peak_624 (-122964)
Gm43517	peak_1012 (+316849)
Gm436	peak_3478 (+33477)
Gm438	peak_3479 (-30332)
Gm44	peak_4945 (-116465), peak_4946 (-46744)
Gm45623	peak_1276 (-11695)
Gm45871	peak_2373 (-21012)
Gm4778	peak_2991 (+2788), peak_2992 (+10149)
Gm4788	peak_321 (+64595)
Gm4791	peak_4687 (-183863), peak_4688 (+169244)
Gm4846	peak_370 (+22152)
Gm4985	peak_4853 (-49743)
Gm5150	peak_2827 (+77120)
Gm5415	peak_88 (-499079), peak_87 (-473351), peak_86 (-118376)
Gm5447	peak_1217 (+17806)
Gm5538	peak_2924 (+53848)
Gm5622	peak_1505 (-36510)
Gm5640	peak_4915 (+12612)
Gm5724	peak_4130 (+19893)
Gm5773	peak_2990 (-12342)
Gm5849	peak_2985 (-82987)
Gm5861	peak_3527 (-610904), peak_3528 (-118527)
Gm5916	peak_4661 (-106700)
Gm597	peak_75 (-922744), peak_74 (-588133)
Gm6133	peak_2350 (+345928)
Gm6377	peak_4970 (+507112), peak_4971 (+634165)
Gm6460	peak_3529 (-136376)
Gm6594	peak_2205 (-369470)
Gm6657	peak_1068 (-418683), peak_1069 (-413752)
Gm6741	peak_2224 (+410588), peak_2225 (+528420)
Gm7073	peak_4894 (-168973)
Gm7247	peak_1503 (+21183)
Gm7257	peak_4662 (-49237)
Gm7275	peak_1883 (-768646), peak_1884 (-697724), peak_1885 (-160195), peak_1886 (-92111), peak_1887 (-51710)
Gm732	peak_4968 (-38427)
Gm7347	peak_3565 (-11984)
Gm7356	peak_2035 (-93187), peak_2034 (-12047)
Gm7361	peak_3566 (+122052)
Gm7714	peak_3688 (-9554)
Gm773	peak_4885 (-27659)
Gm7978	peak_3708 (+63033)
Gm8165	peak_1483 (+7926)
Gm8225	peak_2075 (-363)
Gm8247	peak_1485 (+19646)
Gm826	peak_2754 (+388536), peak_2753 (+538702), peak_2752 (+671323)
Gm8888	peak_1791 (-26282)
Gm9008	peak_4025 (-230789), peak_4024 (+970)
Gm906	peak_1261 (+131013), peak_1260 (+166292), peak_1259 (+228774)
Gm9195	peak_1538 (-34772), peak_1537 (+434658)
Gm933	peak_1853 (-18961)
Gm9573	peak_2105 (+9606)
Gm9747	peak_196 (-59239)
Gm9772	peak_2060 (-50416)
Gm9805	peak_2062 (-41008)
Gm9913	peak_2702 (-92770)
Gm9964	peak_840 (-10248), peak_839 (+18098)
Gm9992	peak_2023 (-81693)
Gmnc	peak_1843 (+123460)
Gnai1	peak_3548 (-394796), peak_3547 (-182503), peak_3546 (+85276)
Gnaq	peak_2394 (+134475)
Gnat3	peak_3545 (-53053)
Gnaz	peak_561 (-292072), peak_562 (+24317)
Gnb4	peak_2869 (-42034)
Gng13	peak_2073 (-54578)
Gng4	peak_1187 (-62187)
Gnmt	peak_2131 (+8756)
Golga7b	peak_2434 (+70437)
Golph3	peak_1638 (+63403), peak_1639 (+103891)
Gopc	peak_514 (+62653)
Got2	peak_4521 (-885635), peak_4520 (-171757)
Gp1bb	peak_1826 (+9489)
Gp2	peak_4301 (+19298)
Gpc1	peak_215 (+23331)
Gpc5	peak_1596 (-616072), peak_1597 (-425288), peak_1598 (-189092)
Gpc6	peak_1599 (-600067), peak_1600 (-460050), peak_1601 (-284050), peak_1602 (-136897), peak_1603 (-23472), peak_1604 (+332751)
Gphb5	peak_1062 (+37366)
Gpm6a	peak_4426 (-105474), peak_4427 (-37095)
Gpr135	peak_1057 (+81909)
Gpr137b	peak_1184 (-21773)
Gpr149	peak_2930 (-137737), peak_2929 (+31541)
Gpr155	peak_2633 (+29713)
Gpr157	peak_3494 (-19982)
Gpr158	peak_2522 (+125493), peak_2523 (+218259), peak_2524 (+257651)
Gpr165	peak_4955 (-54040)
Gpr20	peak_1752 (+11725)
Gpr45	peak_105 (-49927)
Gpr6	peak_488 (-79312), peak_487 (+72672)
Gpr63	peak_3172 (+134481)
Gpr68	peak_1104 (-37629), peak_1103 (+29468)
Gprc5a	peak_4120 (+18507)
Gprin2	peak_1467 (+6721)
Gramd1b	peak_4674 (-36549)
Gramd3	peak_2302 (-73954)
Grb7	peak_872 (+38751)
Grem1	peak_2687 (+8811)
Grem2	peak_380 (-21004)
Grhl2	peak_1684 (-57313), peak_1685 (-10530), peak_1686 (+18996)
Grhl3	peak_3452 (+25808)
Gria1	peak_799 (-279743), peak_800 (-204623)
Gria2	peak_2964 (+60345), peak_2963 (+447025)
Gria3	peak_4866 (-445487), peak_4867 (-169641), peak_4868 (-89952)
Gria4	peak_4609 (-181732), peak_4608 (+24153)
Grid1	peak_1469 (+387226)
Grid2	peak_4007 (-546040), peak_4008 (-260921), peak_4009 (+329779), peak_4010 (+411636)
Grik1	peak_1980 (+186053)
Grik2	peak_510 (-320553), peak_509 (+563786), peak_508 (+763280)
Grik3	peak_3427 (-12556)
Grin3a	peak_3225 (-682554), peak_3224 (-534662)
Grip1	peak_666 (-49338)
Grk2	peak_2375 (+11364)
Grm1	peak_429 (+107547)
Grm3	peak_3526 (-485675)
Grm4	peak_2079 (+78119), peak_2078 (+127624)
Grm6	peak_789 (+9230)
Grm7	peak_4076 (+776146)
Grm8	peak_3944 (-43617), peak_3943 (+580573)
Grtp1	peak_4357 (-23515)
Grxcr1	peak_3642 (+73967), peak_3643 (+105843)
Gsc	peak_1112 (-111208), peak_1111 (+25253)
Gse1	peak_4571 (-95565), peak_4572 (-38515)
Gsg1l	peak_4305 (+41242)
Gtdc1	peak_2577 (+250098)
Gtf2a1	peak_1089 (-57702)
Gtf2e2	peak_4394 (-32736)
Gtf2i	peak_3848 (-11326), peak_3847 (+39275)
Gtf2ird1	peak_3850 (-46651), peak_3849 (+28715)
Gtf3c3	peak_139 (+51920)
Gtsf1l	peak_2756 (-31806)
Gucy1a2	peak_4606 (+210968)
Gucy1b2	peak_1521 (-8875)
Gucy2e	peak_818 (-31737)
Gulp1	peak_113 (-132166), peak_114 (-70436)
Gxylt1	peak_1784 (+105373), peak_1783 (+141427)
Gxylt2	peak_4057 (+53534)
Gypa	peak_4498 (-147918)
H2-M10.4	peak_2106 (-25770)
H2afb3	peak_4987 (-72547)
H2afy	peak_1275 (+69643)
H2afz	peak_3064 (-16327)
H2al1n	peak_4833 (-20792), peak_4834 (+278485), peak_4835 (+374124)
H2al1o	peak_4826 (-23742)
H3f3a	peak_391 (-16193)
Haao	peak_2209 (-90360)
Habp2	peak_2485 (+32630)
Hacd1	peak_2507 (+105738)
Hacd4	peak_3337 (+78006), peak_3336 (+150779)
Hace1	peak_500 (+261184), peak_501 (+786839), peak_502 (+802579)
Hadh	peak_3052 (+52328)
Hand2	peak_4431 (-280102), peak_4432 (-216091), peak_4433 (-137971)
Hao1	peak_2714 (+48195)
Has2	peak_1728 (-213926), peak_1727 (-191420), peak_1726 (+173704)
Havcr1	peak_781 (+15899)
Hc	peak_2561 (-5524)
Hccs	peak_5048 (-91209), peak_5047 (+17751)
Hdac9	peak_975 (-204762)
Hdc	peak_2703 (+23721)
Hddc3	peak_4241 (+13329)
Hdgfl1	peak_1211 (-67718), peak_1210 (-53640), peak_1209 (+524079)
Hdx	peak_4975 (-90988)
Hectd1	peak_1014 (-47737)
Hecw1	peak_1189 (-41877)
Hecw2	peak_137 (+8237)
Helz2	peak_2797 (+8118)
Hey1	peak_2810 (-118476)
Hhat	peak_413 (+43559), peak_412 (+192753)
Hibch	peak_135 (+48717)
Hivep1	peak_1241 (+78349)
Hlcs	peak_2001 (+59091), peak_2000 (+67908)
Hlx	peak_398 (+98324)
Hmcn2	peak_2545 (+15444)
Hmg20a	peak_4706 (+18577)
Hmga2	peak_670 (+26285), peak_669 (+61836), peak_668 (+79187), peak_667 (+85168)
Hmgb1	peak_3878 (-14700)
Hmgcll1	peak_4739 (-35810)
Hmgcr	peak_1364 (-37287)
Hmgn1	peak_2009 (-8390)
Hmgn5	peak_4969 (-39681)
Hnf1a	peak_3770 (+15762)
Hnf4g	peak_2798 (+427608), peak_2799 (+663474)
Hnmt	peak_2527 (+110918)
Hoxa13	peak_3992 (-21152)
Hoxd10	peak_2635 (-99739)
Hoxd11	peak_2635 (-90138)
Hoxd12	peak_2635 (-82828)
Hoxd13	peak_2635 (-76125)
Hpcal1	peak_956 (-28961), peak_957 (+411079)
Hpgd	peak_4429 (+55976)
Hps1	peak_2436 (-224963)
Hrh2	peak_1271 (+20433)
Hs1bp3	peak_943 (+12364)
Hs3st1	peak_3590 (-167638), peak_3589 (+34989), peak_3588 (+178741)
Hs3st3a1	peak_811 (-136976)
Hs3st3b1	peak_810 (+116953)
Hs3st4	peak_4303 (-111272)
Hs3st5	peak_473 (-370459), peak_474 (-230759)
Hs6st1	peak_94 (-243093), peak_95 (-217825)
Hsd17b3	peak_1293 (+68504)
Hsd17b4	peak_2296 (-6531)
Hsf2	peak_521 (-456870), peak_522 (-266939)
Hsfy2	peak_142 (+537616)
Hsh2d	peak_4477 (+8185)
Hspa13	peak_1951 (-32276), peak_1950 (+29814), peak_1949 (+39122)
Hspa8	peak_4675 (+21185)
Hspa9	peak_2276 (-80061)
Hspb8	peak_3781 (+27109), peak_3780 (+32983)
Htr1a	peak_1386 (+349712)
Htr1b	peak_4749 (+450976)
Htr1f	peak_1926 (+43576), peak_1925 (+58142), peak_1924 (+105360)
Hvcn1	peak_3805 (-16397)
Hydin	peak_4549 (+24025)
Ibsp	peak_3727 (-14247)
Ibtk	peak_4758 (+122981)
Ice1	peak_1308 (+242017)
Id2	peak_967 (-650434)
Id4	peak_1250 (-521181), peak_1251 (-242590), peak_1252 (+35811)
Ids	peak_4910 (+111255)
Ier5	peak_348 (+69844)
Ifi204	peak_379 (-26794)
Ifna16	peak_3339 (+8786)
Ifna9	peak_3338 (+7315)
Ifnk	peak_3187 (-109699)
Ift81	peak_3808 (-10895)
Igdcc4	peak_4727 (-7268)
Igf2	peak_4330 (+54393)
Igf2bp3	peak_3983 (+49808)
Igfbp3	peak_700 (-656147)
Igfbp5	peak_182 (+11952), peak_181 (+20407)
Igfbp7	peak_3668 (-587076), peak_3667 (-287697), peak_3666 (-215517), peak_3665 (-56867)
Igsf10	peak_2923 (-174503), peak_2922 (+57741)
Igsf11	peak_1873 (+154889), peak_1874 (+916859)
Igsf21	peak_3461 (+31741), peak_3460 (+105193)
Igsf3	peak_3002 (-13552), peak_3003 (+10912)
Il12a	peak_2944 (-82806), peak_2945 (+62724)
Il12b	peak_779 (-94076)
Il13ra2	peak_5019 (+144576), peak_5018 (+222510)
Il17a	peak_58 (-25299), peak_59 (+13480)
Il18bp	peak_4271 (+16954)
Il18r1	peak_104 (-7839)
Il1r1	peak_103 (-29986)
Il1r2	peak_102 (-28883)
Il1rapl1	peak_4940 (-231470), peak_4939 (+183855), peak_4938 (+648778)
Il1rapl2	peak_5006 (-143706)
Il5ra	peak_4066 (+351444)
Il6st	peak_1404 (+39932), peak_1405 (+47339)
Ilk	peak_4281 (-15554)
Immp1l	peak_2679 (+44149)
Impad1	peak_3103 (-303331), peak_3102 (-252158)
Inhba	peak_1193 (+88839), peak_1194 (+379870), peak_1195 (+488230)
Inpp4b	peak_4500 (+378964)
Inpp5d	peak_207 (-12582)
Ins1	peak_2472 (-364676)
Insc	peak_4294 (+181924)
Insig2	peak_283 (+333690)
Insl5	peak_3372 (+7659)
Intu	peak_2881 (-683060)
Ipmk	peak_554 (+476879)
Ipo11	peak_1389 (+286680), peak_1388 (+304013), peak_1387 (+645699)
Ipo8	peak_4141 (+62549)
Ipo9	peak_309 (-48691)
Iqcf4	peak_4790 (-19837)
Iqcg	peak_1854 (+21336)
Iqcj	peak_2941 (-138561), peak_2942 (-106042)
Iqcm	peak_4487 (+124990), peak_4488 (+139161), peak_4489 (+649189)
Iqgap2	peak_1363 (-68939)
Iqsec1	peak_4044 (-95429)
Iqub	peak_3935 (+23148)
Irak1bp1	peak_4752 (-470178), peak_4753 (-352942), peak_4754 (-264230)
Irak2	peak_4084 (+16526)
Irak4	peak_1785 (+17812), peak_1786 (+22610)
Irf1	peak_794 (+25041)
Irf8	peak_4575 (+56513), peak_4576 (+124630)
Irs2	peak_4351 (+48540)
Irx1	peak_1313 (-158583), peak_1312 (+83983), peak_1311 (+472135), peak_1310 (+535325)
Irx2	peak_1314 (-236246)
Irx3	peak_4513 (-191650)
Iscu	peak_3762 (+10555)
Isl2	peak_4704 (+97045)
Isx	peak_4483 (-682458), peak_4484 (-388434)
Itga1	peak_1407 (-489536)
Itga6	peak_2626 (-95730), peak_2627 (+26471)
Itgav	peak_2646 (-31388), peak_2647 (+35155)
Itgb3	peak_876 (+35935)
Itgb5	peak_1856 (+30940), peak_1857 (+42885)
Itgb6	peak_2610 (-20538)
Itgbl1	peak_1614 (+63300), peak_1615 (+151088)
Itm2a	peak_4966 (-95956)
Itpr1	peak_4072 (+16559), peak_4073 (+59735)
Itsn1	peak_1990 (+98495), peak_1991 (+101159)
Izumo3	peak_3350 (+246279)
Jade1	peak_2882 (-219914)
Jade2	peak_791 (-40527), peak_790 (-23478)
Jag2	peak_1148 (+19898)
Jak1	peak_3368 (-62720)
Jarid2	peak_1243 (-321504), peak_1244 (+116044)
Jdp2	peak_1083 (-26852)
Jph1	peak_42 (+143693)
Jph2	peak_2757 (+77585)
Jrkl	peak_4628 (+161548), peak_4627 (+329739), peak_4626 (+506196)
Jun	peak_3360 (-54402)
Kalrn	peak_1859 (+251004)
Kank1	peak_2408 (-49336), peak_2409 (+70811)
Kank2	peak_4642 (-17672)
Kank4	peak_3361 (+38907)
Kap	peak_4118 (+38011), peak_4117 (+108210)
Katnal1	peak_3877 (+91270)
Kbtbd7	peak_1554 (-6165)
Kcna4	peak_2680 (+686166)
Kcnc2	peak_646 (+52269), peak_647 (+153661)
Kcnd2	peak_3924 (-664096), peak_3925 (-504768), peak_3926 (-422049), peak_3927 (-200971), peak_3928 (+178604)
Kcne4	peak_190 (+309713)
Kcnh1	peak_411 (+253264)
Kcnh8	peak_2139 (-59829), peak_2140 (+430091)
Kcnip4	peak_3606 (-142247), peak_3605 (-19714)
Kcnj16	peak_892 (-218196), peak_893 (-172194)
Kcnj3	peak_2596 (-409155), peak_2597 (+192887), peak_2598 (+393646), peak_2599 (+505372)
Kcnj4	peak_1763 (+11448)
Kcnj6	peak_2004 (-91265), peak_2003 (-19646)
Kcnk16	peak_1444 (+11514), peak_1443 (+18480)
Kcnk5	peak_1442 (+25473)
Kcnma1	peak_1452 (+594204), peak_1451 (+882488)
Kcnn2	peak_2289 (-61488), peak_2290 (+122549)
Kcnq2	peak_2796 (+46528)
Kcnq5	peak_61 (-117037)
Kcns3	peak_945 (+118968)
Kcnt2	peak_322 (+71882), peak_323 (+410485), peak_324 (+476796), peak_325 (+773362), peak_326 (+943649)
Kcnv1	peak_1703 (-586323), peak_1702 (+111525)
Kctd10	peak_3767 (+17123)
Kctd12	peak_1585 (-13061)
Kctd15	peak_4199 (+49364)
Kctd16	peak_2284 (+357631)
Kctd4	peak_1546 (-23658)
Kdm1b	peak_1249 (+12876)
Kdm4c	peak_3294 (+254098)
Kdm5c	peak_5023 (-23846)
Kdm6a	peak_4842 (+138559)
Kdr	peak_3663 (+44481), peak_3662 (+142937)
Khdrbs2	peak_84 (-470985), peak_85 (+93069)
Khdrbs3	peak_1747 (-294863), peak_1748 (-42816)
Khsrp	peak_2153 (+9122)
Kif14	peak_311 (-17589)
Kif16b	peak_2721 (-45017), peak_2720 (+995855)
Kif1c	peak_823 (+26577)
Kif20b	peak_2427 (+311997)
Kif26a	peak_1145 (+15442), peak_1146 (+27901)
Kif26b	peak_385 (-25261)
Kif2a	peak_1390 (-410131)
Kif2c	peak_3405 (-30596)
Kifap3	peak_363 (-7676)
Kifc1	peak_2101 (+16145)
Kifc3	peak_4517 (-67923)
Kirrel	peak_2979 (+79658)
Kit	peak_3661 (-124722)
Kitl	peak_623 (-124483)
Kl	peak_3883 (-48051)
Klf10	peak_1688 (-73556)
Klf12	peak_1584 (-506133), peak_1583 (-239934), peak_1582 (-235586), peak_1581 (+94674), peak_1580 (+274737)
Klf14	peak_3952 (-166879), peak_3951 (-154455), peak_3950 (-79069)
Klf2	peak_4479 (+39315)
Klf4	peak_3243 (-334663)
Klf5	peak_1579 (-36605)
Klf6	peak_1172 (-164097)
Klf7	peak_158 (+109509)
Klhdc4	peak_4584 (+44531)
Klhl1	peak_1576 (-331348)
Klhl2	peak_4456 (-40542)
Klhl25	peak_4231 (-100167), peak_4232 (+149000)
Klhl29	peak_939 (-859361), peak_938 (-109742), peak_937 (+165821)
Klhl3	peak_1281 (+91646)
Klhl30	peak_212 (-12133)
Klhl31	peak_4741 (+38324)
Klhl32	peak_3171 (+58403)
Klhl34	peak_5030 (-48771)
Klhl6	peak_1827 (-42004)
Klra1	peak_4114 (-368974), peak_4113 (-297239)
Klra17	peak_4112 (+19413)
Klrb1f	peak_4111 (+13826)
Klrg1	peak_4099 (+55056)
Kmt2a	peak_4681 (+38740)
Kndc1	peak_4323 (-19408)
Kras	peak_4137 (-53597)
Krt16	peak_873 (+15403)
Krtap28-10	peak_200 (-3043)
Ksr2	peak_3783 (+68122)
Ktn1	peak_1495 (+172361)
Lair1	peak_4146 (+45039)
Lama1	peak_2175 (+18570)
Lama2	peak_459 (+256601)
Lamc2	peak_346 (-41142), peak_345 (+32612)
Lao1	peak_3409 (+58176), peak_3410 (+65819)
Laptm5	peak_3437 (-6199)
Large1	peak_4482 (+195557)
Large2	peak_2664 (+10605)
Lbx1	peak_2443 (-13264)
Lca5	peak_4756 (-19628)
Lcorl	peak_3601 (-543727)
Lcp2	peak_763 (-32886)
Lct	peak_293 (+23569)
Ldah	peak_942 (-84085)
Ldhal6b	peak_2018 (+30408), peak_2017 (+141201)
Ldhd	peak_4554 (+34730)
Ldlr	peak_4641 (+13797)
Ldoc1	peak_4897 (+13815), peak_4898 (+260270)
Lef1	peak_3049 (-90566), peak_3050 (-14930), peak_3051 (+68421)
Lekr1	peak_2936 (+89576)
Lep	peak_3946 (+23524)
Letm1	peak_3579 (+13337)
Letm2	peak_4376 (+33933)
Lexm	peak_3381 (+10043)
Lgals8	peak_1183 (-16931)
Lgals9	peak_838 (-51551)
Lgmn	peak_1108 (+26596), peak_1107 (+70547)
Lhfp	peak_2904 (+77053)
Lhfpl2	peak_1357 (+5409)
Lhfpl3	peak_3561 (-20780)
Lhpp	peak_4315 (+45914)
Lhx1	peak_847 (-38537)
Lhx2	peak_2566 (+52480)
Lhx3	peak_2531 (+15276)
Lhx5	peak_3797 (-73634), peak_3798 (-37590)
Lhx9	peak_315 (+53378)
Lig1	peak_4163 (-8031)
Lin28b	peak_499 (+23783)
Lin7a	peak_638 (+94777)
Lingo1	peak_4707 (+29192)
Lingo2	peak_3193 (-425763), peak_3192 (-22316), peak_3191 (+246914), peak_3190 (+302211)
Lipc	peak_4732 (+30867)
Lipk	peak_2426 (+17251)
Lipo2	peak_2425 (+38929)
Lix1	peak_2047 (+104033)
Lmbrd1	peak_67 (+441152)
Lmcd1	peak_4077 (-810619), peak_4078 (-93846)
Lmo1	peak_4286 (-51043)
Lmx1a	peak_375 (-16530)
Lmx1b	peak_2558 (-77418)
Lnpk	peak_2635 (-13237), peak_2634 (+607606)
Lnx1	peak_3659 (-106829)
Lox	peak_2300 (-13112)
Loxl4	peak_2435 (+8752)
Lpin1	peak_954 (+174194)
Lpp	peak_1839 (+41520)
Lrch1	peak_1543 (+33050)
Lrcol1	peak_3744 (+9640)
Lrfn2	peak_2136 (+97365)
Lrfn5	peak_1038 (-369300), peak_1039 (-154019), peak_1040 (+104886), peak_1041 (+181519), peak_1042 (+239649), peak_1043 (+652732)
Lrig3	peak_680 (-264796), peak_681 (+229430)
Lrit3	peak_3047 (+15130)
Lrmda	peak_1450 (+816445)
Lrmp	peak_4136 (-16503)
Lrp1b	peak_2576 (+83938), peak_2575 (+569867)
Lrp4	peak_2659 (+20199)
Lrrc17	peak_3557 (+44295)
Lrrc3b	peak_1428 (-98464), peak_1427 (-71022)
Lrrc4c	peak_2668 (-903889), peak_2669 (-518703), peak_2670 (-383676), peak_2671 (+112950), peak_2672 (+717421)
Lrrc7	peak_3095 (-426007), peak_3094 (+114274)
Lrrc72	peak_978 (+19137)
Lrrc75b	peak_565 (+6478)
Lrrc8c	peak_3732 (-39124)
Lrriq1	peak_630 (+21979)
Lrriq3	peak_3089 (+58387), peak_3090 (+216621)
Lrrn2	peak_304 (+58002)
Lrrtm3	peak_536 (-695342)
Lrrtm4	peak_4028 (-734474), peak_4029 (-711561), peak_4030 (+360280)
Lsamp	peak_1875 (-866057), peak_1876 (-472223), peak_1877 (+328056)
Lsm8	peak_3921 (-67695)
Ltbp2	peak_1080 (+18074)
Lurap1l	peak_3306 (+17203), peak_3307 (+162405), peak_3308 (+239094), peak_3309 (+257160)
Ly86	peak_1226 (-81958), peak_1227 (+123035), peak_1228 (+197878)
Lyg2	peak_98 (-6612)
Lyrm2	peak_3184 (+34011)
Lyst	peak_1186 (-60834)
Lzts1	peak_4472 (-9414), peak_4471 (+46184)
Macc1	peak_1159 (-46061), peak_1160 (+128079)
Maf	peak_4560 (+556820)
Mafa	peak_1754 (-7296)
Mafk	peak_3859 (+2825)
Magea4	peak_4911 (-114775)
Mageb16	peak_4924 (-190377), peak_4923 (-148276), peak_4922 (-114783), peak_4921 (-73374), peak_4920 (-46695)
Mageb18	peak_4947 (-112940)
Mageb4	peak_4937 (-828244), peak_4936 (-642572), peak_4935 (-118146)
Maged2	peak_5022 (-53607)
Magi2	peak_3549 (-403126), peak_3550 (-374501), peak_3551 (-239742), peak_3552 (+114606), peak_3553 (+421859), peak_3554 (+735581)
Mak	peak_1238 (+11986)
Mal	peak_2705 (-14641)
Malrd1	peak_2511 (+137498)
Mamdc2	peak_2402 (-59400)
Mamstr	peak_4220 (+10810)
Man1c1	peak_3449 (+61969), peak_3448 (+70149), peak_3447 (+75570)
Manea	peak_3174 (-22492)
Manf	peak_4791 (-26746)
Map1b	peak_1371 (-41613)
Map1lc3b	peak_4583 (+14659)
Map1s	peak_4475 (+153422), peak_4476 (+166349)
Map2	peak_164 (-44061)
Map3k1	peak_1403 (+33005)
Map3k13	peak_1833 (-45602), peak_1834 (+16623)
Map3k2	peak_2269 (-9759)
Map3k7	peak_3179 (-436463), peak_3180 (-81754), peak_3181 (+111390)
Map3k7cl	peak_1976 (+57787), peak_1977 (+63773)
Map4k1	peak_4192 (+31475)
Map7	peak_443 (-24853), peak_444 (+37800)
Map7d2	peak_5034 (-16509)
Map7d3	peak_4886 (-58533)
Mapk10	peak_3725 (+67221)
Mapk1ip1l	peak_1494 (+2402)
Mapk4	peak_2337 (+101250)
Mapkapk2	peak_299 (-19270)
Mapre2	peak_2254 (-8706)
March1	peak_4464 (-284923)
March11	peak_1660 (-131194), peak_1661 (-60445), peak_1662 (-28698)
March4	peak_178 (-11322), peak_177 (+54508), peak_176 (+108146)
Marcks	peak_477 (-831790), peak_476 (-796719), peak_475 (-569596)
Marveld2	peak_1374 (+27823)
Mast4	peak_1381 (-66561)
Mat1a	peak_1482 (-13835)
Mat2b	peak_772 (+31440), peak_771 (+443363)
Mb	peak_1756 (+9197)
Mb21d1	peak_4743 (+15473)
Mb21d2	peak_1845 (+9332)
Mbd1	peak_2338 (-15396)
Mbd3l1	peak_4634 (+29040)
Mbnl2	peak_1606 (+91961)
Mboat1	peak_1215 (-12728)
Mboat2	peak_966 (-54514)
Mc3r	peak_2782 (+33917)
Mc4r	peak_2321 (-79971)
Mc5r	peak_2328 (-8446)
Mcam	peak_4676 (+44493)
Mccc2	peak_1372 (+6630)
Mcf2	peak_4893 (-21828)
Mcm5	peak_4485 (+36625)
Mcph1	peak_4366 (-162443)
Mctp2	peak_4225 (-221588)
Mdfic	peak_3916 (-202880), peak_3917 (+533046)
Mdga1	peak_2090 (-25476)
Mdga2	peak_1047 (-765564)
Mdm2	peak_660 (+34565)
Me3	peak_4254 (-44094), peak_4255 (+126348)
Mecom	peak_2863 (-291933), peak_2862 (+140254), peak_2861 (+293673)
Med12l	peak_2921 (-18650)
Med13l	peak_3787 (-137892), peak_3788 (-27896), peak_3789 (+445573)
Med30	peak_1720 (-45941), peak_1721 (+161717)
Medag	peak_3880 (-58181)
Mef2c	peak_1338 (-830077), peak_1339 (-703990), peak_1340 (-337469)
Megf9	peak_3282 (-336646)
Mei1	peak_1766 (+18952)
Mei4	peak_4750 (+173704), peak_4751 (+270398)
Meis1	peak_729 (-390391), peak_728 (-63624), peak_727 (+33150), peak_726 (+382671), peak_725 (+395532)
Melk	peak_3213 (+92192)
Memo1	peak_2189 (+22118)
Meox2	peak_982 (-156554), peak_983 (+52707)
Mep1b	peak_2250 (-10264)
Mettl11b	peak_362 (+14829)
Mettl15	peak_2681 (+944811)
Mettl16	peak_828 (-21452)
Mettl18	peak_364 (+24700)
Mettl21c	peak_110 (-14843)
Mettl21e	peak_112 (-129757), peak_111 (-26197)
Mettl25	peak_636 (-84141)
Mettl4	peak_2228 (+213368)
Mex3b	peak_4244 (+319349)
Mex3c	peak_2335 (-223252)
Mfap2	peak_3464 (-7730)
Mff	peak_197 (-21579)
Mfge8	peak_4236 (-45488)
Mfsd4b1	peak_483 (+17525)
Mgat4c	peak_625 (-229754), peak_626 (-50642)
Mgat4e	peak_308 (+19371)
Mgat5	peak_291 (+215719)
Mgat5b	peak_912 (+20878)
Mgme1	peak_2726 (-46268)
Mgmt	peak_4321 (-68951)
Mib1	peak_2239 (+123520)
Mical3	peak_4098 (+78120)
Mid1ip1	peak_4831 (+247846)
Mipep	peak_1520 (+90723)
Mis18a	peak_1984 (+102977)
Mlana	peak_2417 (-23862)
Mllt3	peak_3335 (+352471)
Mmaa	peak_4496 (-37906)
Mmadhc	peak_2584 (-303964)
Mme	peak_2931 (-23176)
Mmp16	peak_3141 (-718989), peak_3142 (-635994), peak_3143 (-571791), peak_3144 (-444462), peak_3145 (-402172), peak_3146 (-282381), peak_3147 (+168273), peak_3148 (+368334), peak_3149 (+574822)
Mmp17	peak_3833 (+18229), peak_3834 (+39193)
Mmp24	peak_2742 (+17437)
Mmrn2	peak_1468 (+23477)
Mms22l	peak_3168 (-839422), peak_3169 (-553745), peak_3170 (-212031)
Mn1	peak_3750 (+48575), peak_3751 (+163844), peak_3752 (+221909), peak_3753 (+335084)
